"Data Source","World Development Indicators",

"Last Updated Date","2020-02-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Benin","BEN","Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population)","SH.STA.AIRP.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","219","","","",
"Benin","BEN","Mortality rate attributed to household and ambient air pollution, age-standardized, female (per 100,000 female population)","SH.STA.AIRP.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","193","","","",
"Benin","BEN","Number of surgical procedures (per 100,000 population)","SH.SGR.PROC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Risk of impoverishing expenditure for surgical care (% of people at risk)","SH.SGR.IRSK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.4","63.2","62.7","62.5","60.2","59.9","59.7","59.6","61.4","63","60.9","60.5","62.8","62.2","61","","",
"Benin","BEN","Risk of catastrophic expenditure for surgical care (% of people at risk)","SH.SGR.CRSK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.2","71.5","70.5","69.5","67.2","66.5","64.6","62.4","64.1","61.9","62.9","61.9","63","62.8","60.4","","",
"Benin","BEN","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.5","","","","","15","","","","","13.6","13.4","13.1","12.9","12.8","12.5","12.3","","","",
"Benin","BEN","Smoking prevalence, females (% of adults)","SH.PRV.SMOK.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.1","","","","","1.4","","","","","1","0.9","0.9","0.8","0.7","0.7","0.6","","","",
"Benin","BEN","Smoking prevalence, total (ages 15+)","SH.PRV.SMOK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.1","","","","","8.1","","","","","7.2","7.1","6.9","6.8","6.7","6.5","6.4","","","",
"Benin","BEN","Prevalence of anemia among pregnant women (%)","SH.PRG.ANEM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.5","63.6","63.7","63.8","63.9","64","64","64","64.1","64.1","64","64","63.9","63.8","63.7","63.5","63.3","62.9","62.5","61.9","61.2","60.4","59.5","58.6","57.5","56.5","55.5","","","",
"Benin","BEN","Lifetime risk of maternal death (%)","SH.MMR.RISK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.16809063027568","3.11033488630045","3.04909685121425","3.00500469027498","2.94184211723484","2.87900274492208","2.81835047151711","2.7587999754209","2.70170588679012","2.64075430814645","2.57881918778241","2.52310418411206","2.45573055368686","2.3820818591723","2.30297139270072","2.21755526339645","2.12441688807423","2.04212695615364","","",
"Benin","BEN","Lifetime risk of maternal death (1 in: rate varies by country)","SH.MMR.RISK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","32","33","33","34","35","35","36","37","38","39","40","41","42","43","45","47","49","","",
"Benin","BEN","Number of maternal deaths","SH.MMR.DTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1500","1500","1600","1600","1600","1600","1600","1700","1700","1700","1700","1700","1700","1700","1700","1700","1600","1600","","",
"Benin","BEN","Children with fever receiving antimalarial drugs (% of children under age 5 with fever)","SH.MLR.TRET.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.3","","","","","54","","","","","","38.4","","25.9","","","","17.5","",
"Benin","BEN","Use of insecticide-treated bed nets (% of under-5 population)","SH.MLR.NETS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","","","","20.3","","","","","","69.7","","72.7","","","","76.3","",
"Benin","BEN","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","368.65","","","","","","","","","","403.66","371.63","339.98","321.8","329.32","358.15","368.57","367.91","","",
"Benin","BEN","Specialist surgical workforce (per 100,000 population)","SH.MED.SAOP.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.86","","","","","",
"Benin","BEN","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.04","","","","","0.03","","","","","0.034","","","","","","","","","","0.059","0.059","","0.075","","0.073","","","","0.071","0.051","0.042","0.055","0.057","0.061","0.058","","","","","","","","","0.0401","","","","0.0623","","0.059","","0.1646","0.1506","","","0.1572","","","",
"Benin","BEN","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.747","","","","0.8197","","0.771","","0.6802","0.6317","","","0.6145","","","",
"Benin","BEN","Community health workers (per 1,000 people)","SH.MED.CMHW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Hospital beds (per 1,000 people)","SH.MED.BEDS.ZS","1.22574877738953","","","","","","","","","","1.15489995479584","","","","","","","","","","1.46490001678467","1.13119995594025","","","","0.359600007534027","","","","","0.8338999748","0.5005000234","0.2231000066","0.2390999943","0.2336000055","","","","","","","","","","","0.5","","","","","0.5","","","","","","","","","",
"Benin","BEN","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","23","20","26","30","48","79","60","70","67","78","65","60","66","67","69","70","68","66","65","63","61","66","70","66","71","68","70","74","68","65","67","68","70","71","",
"Benin","BEN","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","17","17","25","30","48","74","69","73","75","81","67","66","66","70","74","78","76","75","73","72","70","74","82","75","79","76","75","80","77","74","74","76","76","76","",
"Benin","BEN","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","73","75","70","74","82","75","79","76","75","80","77","74","74","76","76","76","",
"Benin","BEN","Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV)","SH.HIV.PMTC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","48","53","61","30","39","45","42","76","95","95","95","95","",
"Benin","BEN","Incidence of HIV (per 1,000 uninfected population ages 15-49)","SH.HIV.INCD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.77","1.12","1.5","1.84","2.08","2.19","2.11","2.03","1.87","1.7","1.55","1.4","1.3","1.2","1.1","1.05","0.99","0.96","0.9","0.83","0.79","0.76","0.73","0.71","0.71","0.66","0.62","0.59","0.58","",
"Benin","BEN","Adults (ages 15+) and children (ages 0-14) newly infected with HIV","SH.HIV.INCD.TL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1800","2700","3800","5000","5900","6600","6600","6600","6300","6000","5800","5500","5400","5300","5100","5000","5000","4800","4700","4500","4400","4300","4300","4300","4200","4000","3800","3700","3800","",
"Benin","BEN","Children (ages 0-14) newly infected with HIV","SH.HIV.INCD.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","200","500","500","520","670","800","900","990","1000","1100","1100","1100","1200","1200","1100","1100","1100","970","900","870","850","810","790","780","650","530","500","500","500","",
"Benin","BEN","Adults (ages 15+) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1600","2400","3400","4400","5300","5800","5700","5600","5300","5000","4700","4400","4300","4100","3900","3900","3800","3800","3800","3600","3600","3500","3500","3500","3600","3500","3300","3300","3300","",
"Benin","BEN","Antiretroviral therapy coverage (% of people living with HIV)","SH.HIV.ARTC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","21","27","33","40","43","37","42","48","54","53","61","",
"Benin","BEN","Prevalence of HIV, male (% ages 15-24)","SH.HIV.1524.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.2","0.2","0.3","0.4","0.4","0.4","0.5","0.4","0.4","0.4","0.4","0.3","0.3","0.3","0.3","0.3","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","",
"Benin","BEN","Prevalence of HIV, female (% ages 15-24)","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.2","0.3","0.5","0.6","0.7","0.8","0.9","0.9","0.9","0.9","0.8","0.8","0.7","0.7","0.6","0.6","0.6","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.4","0.4","0.4","0.4","",
"Benin","BEN","Children (0-14) living with HIV","SH.HIV.0014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","500","570","850","1200","1600","2000","2400","2800","3300","3700","4100","4400","4800","5100","5400","5600","5700","5700","5700","5700","5700","5700","5600","5500","5200","5000","4800","4600","",
"Benin","BEN","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","People using safely managed drinking water services, urban (% of urban population)","SH.H2O.SMDW.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","People using safely managed drinking water services, rural (% of rural population)","SH.H2O.SMDW.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.4597010883331","61.780225192069","62.110444409837","62.4598635936805","62.8017695627785","63.1357611259322","63.4621229608415","63.7811167013581","64.0925876253334","64.3961776449763","64.6923678002717","64.9812172767171","65.2627858767614","65.5367577351722","65.8044993016692","66.0656513251275","66.3202399725975","66.4147253381272","","",
"Benin","BEN","People using at least basic drinking water services, urban (% of urban population)","SH.H2O.BASW.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.6173220618441","76.5646223734455","76.5116897561327","76.4585242099056","76.4051257347645","76.3514943307091","76.2976299977396","76.2435327358559","76.189202545058","76.134639425346","76.0798433767198","76.0248143991794","75.9695524927249","75.9140576573562","75.8583298930732","75.8023691998762","75.7461755777649","75.7461755777649","","",
"Benin","BEN","People using at least basic drinking water services, rural (% of rural population)","SH.H2O.BASW.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.0375321037823","52.4661713944223","52.8891493404856","53.3064659419726","53.7181211988829","54.1241151112166","54.5244476789738","54.9191189021543","55.3081287807585","55.6914773147861","56.0691645042369","56.4411903491114","56.8075548494093","57.1682580051304","57.5232998162752","57.8726802828435","58.216399404835","58.216399404835","","",
"Benin","BEN","Demand for family planning satisfied by modern methods (% of married women with demand for family planning)","SH.FPL.SATM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.7","","","","","15.5","","","","","13.8","","","","","","17.4","","24.5","","","","25.9","",
"Benin","BEN","Mortality rate, neonatal (per 1,000 live births)","SH.DYN.NMRT","63.8","63.4","62.9","62.4","61.9","61.3","60.7","60.1","59.7","59.2","58.6","58","57.5","56.9","56.2","55.6","55","54.3","53.6","52.9","52.2","51.5","50.9","50.3","49.7","49.1","48.5","47.9","47.2","46.6","45.8","45.1","44.4","43.8","43.2","42.7","42.3","41.7","41.2","40.6","39.9","39.1","38.3","37.6","36.9","36.4","36","35.6","35.3","35","34.7","34.3","34","33.5","33.1","32.6","32.2","31.8","31.3","",
"Benin","BEN","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)","SH.DYN.NCOM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","","","","","20.1","","","","","19.8","","","","","19.7","19.6","","","",
"Benin","BEN","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)","SH.DYN.NCOM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.8","","","","","20.5","","","","","20.1","","","","","20","19.9","","","",
"Benin","BEN","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)","SH.DYN.NCOM.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.3","","","","","19.8","","","","","19.5","","","","","19.4","19.3","","","",
"Benin","BEN","Mortality rate, under-5, male (per 1,000 live births)","SH.DYN.MORT.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","182.8","","","","","","","","","","145.5","","","","","","","","","","117.4","","","","","106","","","98.8","",
"Benin","BEN","Mortality rate, under-5, female (per 1,000 live births)","SH.DYN.MORT.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","167.6","","","","","","","","","","132.7","","","","","","","","","","104.5","","","","","93.4","","","86.8","",
"Benin","BEN","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","310.8","305.9","300.9","295.7","290.5","285.2","280.1","275.4","270.8","266.5","262.3","258","253.6","248.8","244","238.9","233.6","228.4","223.5","218.9","214.5","210.5","206.7","203","199.2","195.4","191.5","187.5","183.6","179.5","175.4","171.3","167.2","163.2","159.4","155.8","152.4","149.2","145.9","142.6","139.3","135.9","132.5","129.2","126.1","123.2","120.5","117.9","115.5","113.3","111.1","108.9","106.6","104.4","102.1","99.9","97.6","95.5","93","",
"Benin","BEN","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2","0.3","0.4","0.5","0.7","0.9","1","1.1","1.2","1.3","1.3","1.3","1.3","1.3","1.3","1.3","1.2","1.2","1.1","1.1","1.1","1.1","1.1","1.1","1.1","1.1","1.1","1","1","",
"Benin","BEN","Women's share of population ages 15+ living with HIV (%)","SH.DYN.AIDS.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.9","48.8","50.3","51.5","52.6","53.6","54.5","55.2","55.9","56.4","56.7","57","57.2","57.4","57.6","57.8","57.9","58.1","58.3","58.6","58.9","59.2","59.5","59.8","60.1","60.3","60.5","60.7","61","",
"Benin","BEN","Probability of dying at age 5-14 years (per 1,000 children age 5)","SH.DYN.0514","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.2","","","","","","","","","","33.6","","","","","","","","","","26.7","","","","","23.6","","","21.8","",
"Benin","BEN","Number of neonatal deaths","SH.DTH.NMRT","6883","7001","7113","7225","7338","7446","7548","7652","7770","7885","7995","8105","8229","8348","8462","8588","8709","8829","8948","9069","9188","9316","9454","9592","9733","9881","10036","10181","10316","10445","10561","10672","10778","10893","11024","11155","11294","11410","11521","11587","11621","11638","11655","11688","11736","11830","11952","12100","12258","12412","12552","12672","12766","12831","12876","12932","12986","13016","13041","",
"Benin","BEN","Cause of death, by non-communicable diseases (% of total)","SH.DTH.NCOM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.6","","","","","","","","","","32","","","","","35.1","35.7","","","",
"Benin","BEN","Number of under-five deaths","SH.DTH.MORT","31758","31978","32201","32406","32602","32778","32977","33202","33439","33698","33956","34198","34430","34613","34786","34920","35038","35157","35329","35540","35790","36086","36396","36722","37036","37317","37571","37809","38030","38219","38370","38494","38591","38673","38754","38841","38951","39029","39061","39050","38970","38869","38739","38613","38527","38476","38477","38517","38583","38670","38741","38747","38710","38625","38487","38338","38149","37936","37578","",
"Benin","BEN","Cause of death, by injury (% of total)","SH.DTH.INJR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.8","","","","","","","","","","9.5","","","","","10.2","10.2","","","",
"Benin","BEN","Number of infant deaths","SH.DTH.IMRT","19135","19276","19413","19537","19651","19752","19862","19986","20117","20265","20416","20563","20707","20827","20944","21039","21124","21209","21320","21477","21658","21864","22079","22308","22535","22747","22951","23149","23339","23510","23668","23813","23939","24054","24159","24260","24371","24463","24531","24577","24588","24590","24578","24573","24590","24628","24693","24779","24877","24981","25072","25124","25147","25141","25104","25062","24999","24924","24767","",
"Benin","BEN","Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","SH.DTH.COMM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.5","","","","","","","","","","58.5","","","","","54.8","54.1","","","",
"Benin","BEN","Number of deaths ages 5-14 years","SH.DTH.0514","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6542","","","","","","","","","","6651","","","","","","","","","","6876","","","","","6881","","","6848","",
"Benin","BEN","Condom use, population ages 15-24, male (% of males ages 15-24)","SH.CON.1524.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.7","","","","","38.7","","","","","","40.2","","35.6","","","","","",
"Benin","BEN","Condom use, population ages 15-24, female (% of females ages 15-24)","SH.CON.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.7","","","","","8.5","","","","","10.4","","","","","","19.2","","31.1","","","","","",
"Benin","BEN","Prevalence of anemia among non-pregnant women (% of women ages 15-49)","SH.ANM.NPRG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68","67.9","67.8","67.7","67.6","67.5","67.2","66.9","66.6","66","65.5","64.8","64","63.2","62.3","61.2","60","58.6","57","55.3","53.6","52.1","50.6","49.2","47.9","46.9","46","","","",
"Benin","BEN","Prevalence of anemia among children (% of children under 5)","SH.ANM.CHLD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.7","83.7","83.8","83.8","83.7","83.6","83.4","83.2","82.9","82.5","82","81.4","80.7","80","79.2","78.2","77.1","75.9","74.5","72.9","71.3","69.7","68","66.5","64.9","63.4","62.1","","","",
