"Data Source","World Development Indicators",

"Last Updated Date","2020-02-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Barbados","BRB","Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population)","SH.STA.AIRP.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","","","",
"Barbados","BRB","Mortality rate attributed to household and ambient air pollution, age-standardized, female (per 100,000 female population)","SH.STA.AIRP.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","","","",
"Barbados","BRB","Number of surgical procedures (per 100,000 population)","SH.SGR.PROC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Barbados","BRB","Risk of impoverishing expenditure for surgical care (% of people at risk)","SH.SGR.IRSK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Barbados","BRB","Risk of catastrophic expenditure for surgical care (% of people at risk)","SH.SGR.CRSK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Barbados","BRB","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","14","","","","","14.2","14.3","14.2","14.4","14.4","14.4","14.5","","","",
"Barbados","BRB","Smoking prevalence, females (% of adults)","SH.PRV.SMOK.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.1","","","","","2.7","","","","","2.3","2.2","2.2","2.1","2","2","1.9","","","",
"Barbados","BRB","Smoking prevalence, total (ages 15+)","SH.PRV.SMOK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.3","","","","","8","","","","","7.9","7.9","7.9","7.9","7.8","7.8","7.8","","","",
"Barbados","BRB","Prevalence of anemia among pregnant women (%)","SH.PRG.ANEM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.5","35.7","34.9","34.2","33.4","32.8","32.1","31.4","30.7","30","29.4","28.8","28.3","27.9","27.5","27.1","26.7","26.3","25.9","25.6","25.4","25.3","25.2","25.2","25.2","25.4","25.7","","","",
"Barbados","BRB","Lifetime risk of maternal death (%)","SH.MMR.RISK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0886330680101457","0.0841966200379737","0.0809809496182522","0.0778905202360171","0.0740800168958036","0.0715456724571812","0.0693911855190314","0.0668438677887129","0.0645107770672228","0.0616367873083378","0.0585203007732814","0.0555666177404697","0.0529878128761465","0.0508033840597953","0.0491436830755587","0.0478688965786087","0.046849620845316","0.0420767453874312","","",
"Barbados","BRB","Lifetime risk of maternal death (1 in: rate varies by country)","SH.MMR.RISK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1100","1200","1200","1300","1300","1400","1400","1500","1600","1600","1700","1800","1900","2000","2000","2100","2100","2400","","",
"Barbados","BRB","Number of maternal deaths","SH.MMR.DTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","","",
"Barbados","BRB","Children with fever receiving antimalarial drugs (% of children under age 5 with fever)","SH.MLR.TRET.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Barbados","BRB","Use of insecticide-treated bed nets (% of under-5 population)","SH.MLR.NETS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Barbados","BRB","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Barbados","BRB","Specialist surgical workforce (per 100,000 population)","SH.MED.SAOP.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.2","","","","","",
"Barbados","BRB","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.329","","","","","","","","","","0.523","","","","","","","","","","","","","","0.891","","","","","","1.14","","","1.254","","1.3509","","","","1.21","1.3529","1.5515","","","","1.7847","","","","","1.811","","","","","","","2.4886","","",
"Barbados","BRB","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.1321","","","","3.7","5.8636","5.8367","","","","4.7847","","","","","4.856","","","","","","","6.0273","","",
"Barbados","BRB","Community health workers (per 1,000 people)","SH.MED.CMHW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Barbados","BRB","Hospital beds (per 1,000 people)","SH.MED.BEDS.ZS","5.92977905273438","","","","","","","","","","10.2215995788574","","","","","","","","","","8.53470039367676","","","","","","","","","","8.3999996185","","","1.2676000595","","7.4","7.5599999428","","","","","","","7.3","7.3","6.7","6.6","","7.6","6.8","6.6","","6.2","6.2","5.8","","","","","",
"Barbados","BRB","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","41","47","53","55","84","88","84","85","84","85","87","92","90","92","97","92","99","92","97","86","94","93","91","90","98","93","92","75","94","94","85","93","90","87","95","96","92","92","85","",
"Barbados","BRB","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","60","58","62","69","83","83","79","79","76","78","91","82","90","86","90","93","85","96","93","87","93","84","87","89","93","92","84","93","85","93","86","91","87","91","94","97","97","90","95","",
"Barbados","BRB","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","66","91","93","92","84","93","85","93","86","91","87","91","94","97","97","90","95","",
"Barbados","BRB","Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV)","SH.HIV.PMTC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Barbados","BRB","Incidence of HIV (per 1,000 uninfected population ages 15-49)","SH.HIV.INCD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","0.6","0.8","0.7","0.6","0.7","0.8","0.9","0.9","1","1","1","1","1","1","1","1","1.1","1.1","1.1","1.1","1.1","1.1","1.1","1.1","1.1","1.1","1.1","1.1","",
"Barbados","BRB","Adults (ages 15+) and children (ages 0-14) newly infected with HIV","SH.HIV.INCD.TL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","",
"Barbados","BRB","Children (ages 0-14) newly infected with HIV","SH.HIV.INCD.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Barbados","BRB","Adults (ages 15+) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","",
"Barbados","BRB","Antiretroviral therapy coverage (% of people living with HIV)","SH.HIV.ARTC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","4","22","27","28","30","31","34","35","38","38","40","41","40","40","41","45","50","",
"Barbados","BRB","Prevalence of HIV, male (% ages 15-24)","SH.HIV.1524.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","",
"Barbados","BRB","Prevalence of HIV, female (% ages 15-24)","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","",
"Barbados","BRB","Children (0-14) living with HIV","SH.HIV.0014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Barbados","BRB","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Barbados","BRB","People using safely managed drinking water services, urban (% of urban population)","SH.H2O.SMDW.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Barbados","BRB","People using safely managed drinking water services, rural (% of rural population)","SH.H2O.SMDW.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Barbados","BRB","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.3244234586283","98.3344248775752","98.3444262965221","98.354427715469","98.3644291344159","98.3744305533628","98.3844319723097","98.3944333912566","98.4044348102036","98.4144362291505","98.4244376480974","98.4344390670443","98.4444404859912","98.4544419049381","98.464443323885","98.4744447428319","98.4844461617788","98.4944475807257","","",
"Barbados","BRB","People using at least basic drinking water services, urban (% of urban population)","SH.H2O.BASW.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Barbados","BRB","People using at least basic drinking water services, rural (% of rural population)","SH.H2O.BASW.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Barbados","BRB","Demand for family planning satisfied by modern methods (% of married women with demand for family planning)","SH.FPL.SATM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","","","","","","","",
"Barbados","BRB","Mortality rate, neonatal (per 1,000 live births)","SH.DYN.NMRT","","","","","","","","","31","29.6","28.3","27.1","26","25.1","24.1","23.1","21.8","20.5","19.3","18.2","17.2","16.4","15.7","15.2","14.8","14.5","14.1","13.6","13.1","12.4","11.7","11","10.5","10.1","9.8","9.6","9.5","9.4","9.4","9.4","9.5","9.5","9.6","9.7","9.9","10","10","10","9.8","9.7","9.5","9.3","9.2","9","8.8","8.6","8.3","8.1","7.9","",
"Barbados","BRB","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)","SH.DYN.NCOM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","","","","","18.8","","","","","18","","","","","16.3","16.2","","","",
"Barbados","BRB","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)","SH.DYN.NCOM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.1","","","","","23.3","","","","","22","","","","","19.9","19.7","","","",
"Barbados","BRB","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)","SH.DYN.NCOM.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.6","","","","","14.9","","","","","14.6","","","","","13.1","12.9","","","",
"Barbados","BRB","Mortality rate, under-5, male (per 1,000 live births)","SH.DYN.MORT.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.8","","","","","","","","","","16.5","","","","","","","","","","15.9","","","","","14.5","","","13.3","",
"Barbados","BRB","Mortality rate, under-5, female (per 1,000 live births)","SH.DYN.MORT.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.3","","","","","","","","","","13.8","","","","","","","","","","13.2","","","","","12","","","11","",
