"Data Source","World Development Indicators",

"Last Updated Date","2020-02-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Djibouti","DJI","Binding coverage, manufactured products (%)","TM.TAX.MANF.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.95","99.95","","","99.95","","","99.95","99.95","","","99.95","","99.97","99.97","","99.97","","","","","",
"Djibouti","DJI","Import volume index (2000 = 100)","TM.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","98.63528077","99.52713854","111.8488857","111.5169549","109.9745944","124.6326789","157.9440461","168.7215621","146.3730618","113.5344731","137.3137129","156.5424496","200.6040658","224.1373723","269.0844542","220.1054819","232.0333273","236.3330127","",
"Djibouti","DJI","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","63.0517896784736","","62.4042947303271","56.595020430275","54.2495363733749","53.0588320176344","49.9543708423124","49.1571838843705","47.8491004097717","42.3031441862594","38.3746845889482","40.6878763027507","41.1796442643503","43.5570669240078","41.4117181522094","43.3575143443648","39.8310714770187","39.4165644977669","44.2090440197412","44.8900350580781","44.7340037637269","50.8536067913206","62.6239115287372","64.3575781980379","50.3283407258822","40.6694348333317","48.7433063000064","50.3829346258246","41.0707338500554","42.0539508690162","41.0961494897567","32.2311138015803","32.8891720254842","32.8832497365441","",
"Djibouti","DJI","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.39411168745172","6.95038724116105","6.75880504403523","5.7840993572686","4.47485044497503","5.32907348501733","4.92354801992956","2.97741933378299","3.24338285988165","4.13476360614874","3.98775617053105","3.52952508308067","2.44415430209584","2.20282402520552","3.02611261383981","4.1579517701034","4.96746305891384","4.08588928846049","4.18520805706708","3.98961088830104","3.18913093491341","3.88042175982085","4.04321096606343","","",
"Djibouti","DJI","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16300000","17300000","17100000","15900000","11600000","14800000","12900000","7700000","9900000","14000000","14400000","15000000","14200000","15500000","17500000","20500000","33500000","29600000","30900000","34200000","35100000","35100000","39700000","22300000","",
"Djibouti","DJI","International tourism, expenditures for travel items (current US$)","ST.INT.TVLX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3800000","3900000","5000000","2600000","2900000","5900000","4000000","2800000","2800000","2800000","2900000","3500000","2600000","3700000","5800000","8600000","21000000","18400000","19200000","21500000","23400000","23500000","27800000","22300000","",
"Djibouti","DJI","International tourism, receipts for travel items (current US$)","ST.INT.TVLR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5400000","4600000","4200000","9300000","7600000","8100000","8600000","8900000","6900000","6800000","7100000","9800000","6800000","7800000","16000000","18000000","19200000","20500000","21600000","24700000","30900000","33500000","36200000","57000000","",
"Djibouti","DJI","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12500000","13400000","12100000","13300000","8700000","8900000","8900000","4900000","7100000","11200000","11500000","11500000","11600000","11800000","11700000","11900000","12500000","11200000","11700000","12700000","11700000","11600000","11900000","","",
"Djibouti","DJI","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","International tourism, receipts (% of total exports)","ST.INT.RCPT.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.77159764338937","2.417472277257","2.15202018163471","4.4711499756533","3.79916629162916","4.19165506799058","4.02836140323133","3.90344981614471","2.72729777817316","2.71207989228007","2.46641731821736","3.19606892501927","2.21829108463812","2.13288169495177","4.00593945029092","4.27682290970346","4.57503378740749","4.48144519477963","4.44925601826633","4.8359676809295","5.25079887173113","6.15024327758438","6.45534762846048","","",
"Djibouti","DJI","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5400000","4600000","4200000","9300000","7600000","8100000","8600000","8900000","6900000","6800000","7100000","9800000","6800000","7800000","16000000","18000000","19200000","20500000","21600000","24700000","30900000","33500000","36200000","57000000","",
"Djibouti","DJI","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21000","20000","20000","21000","21000","20100","21600","22500","23200","26300","30200","39500","40000","54000","58000","51000","56000","60000","63000","","","","","","",
"Djibouti","DJI","Unmet need for contraception (% of married women ages 15-49)","SP.UWT.TFRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","50.325","51.448","52.619","53.787","54.952","56.109","57.26","58.404","59.54","60.664","61.777","62.878","63.968","65.04","66.099","67.142","68.17","69.178","70.169","71.141","72.096","73.028","73.942","74.504","74.715","74.925","75.134","75.341","75.548","75.753","75.957","76.114","76.161","76.207","76.254","76.3","76.347","76.393","76.439","76.485","76.532","76.578","76.624","76.67","76.716","76.761","76.807","76.853","76.899","76.944","76.999","77.064","77.138","77.222","77.314","77.417","77.528","77.648","77.777","",
"Djibouti","DJI","Urban population","SP.URB.TOTL","42090","45530","49569","54125","59119","64505","70353","76741","83631","90927","98633","106498","114646","123945","135623","150521","169441","191954","216126","239094","258796","273809","284877","293398","303356","318891","341380","369420","399648","427144","448449","461893","468431","471336","474579","480986","491411","504853","520139","535376","549181","561328","572337","582417","591943","601234","610280","619013","627771","636960","646944","657875","669663","682097","694818","707586","720322","733072","745819","",
"Djibouti","DJI","Urban population growth (annual %)","SP.URB.GROW","7.07508561178494","7.85612665642115","8.49941889902727","8.79305479856906","8.82561754245747","8.71903784298713","8.67826863973128","8.69106891733036","8.59781490057723","8.36427220283261","8.1348904430421","7.67203144181873","7.37229142728871","7.79887989179475","9.00410588209566","10.4223631696351","11.8402174291261","12.475097635995","11.8605810954969","10.0995209101785","7.91833265102292","5.63906764659049","3.96267251416192","2.94725408887803","3.33769842726525","4.9942318278876","6.81468747315936","7.8937981814987","7.86499515295009","6.65370332304492","4.8673769747403","2.95382998677877","1.40555497570529","0.618240319766432","0.685687975405884","1.34100684179762","2.14426812058564","2.69864529328679","2.98287857556542","2.88732202359837","2.54587737362658","2.18773273816826","1.94225738304721","1.74587072850594","1.62236604477319","1.55738633746339","1.49336584057267","1.42084058345727","1.40491762062338","1.4531408966199","1.55528781799091","1.67552062420268","1.77596570970158","1.83972756979581","1.84780642982106","1.82092361334007","1.78391573577429","1.75455892710525","1.72390198898162","",
"Djibouti","DJI","Rural population (% of total population)","SP.RUR.TOTL.ZS","49.675","48.552","47.381","46.213","45.048","43.891","42.74","41.596","40.46","39.336","38.223","37.122","36.032","34.96","33.901","32.858","31.83","30.822","29.831","28.859","27.904","26.972","26.058","25.496","25.285","25.075","24.866","24.659","24.452","24.247","24.043","23.886","23.839","23.793","23.746","23.7","23.653","23.607","23.561","23.515","23.468","23.422","23.376","23.33","23.284","23.239","23.193","23.147","23.101","23.056","23.001","22.936","22.862","22.778","22.686","22.583","22.472","22.352","22.223","",
"Djibouti","DJI","Rural population growth (annual %)","SP.RUR.TOTL.ZG","2.80457223283501","3.36544054906653","3.80626520281671","4.09985220099416","4.13044276436145","4.03200527877923","3.99194509199868","3.9998240173444","3.9022953328073","3.67772963869036","3.44407549904331","2.98327208493455","2.67410717893566","3.11760677634943","4.31110736426089","5.73261255104385","7.14154277441886","7.79062406927219","7.1696414243176","5.41130455867281","3.21906519630274","0.957819853665664","-0.728459667756006","0.00996025857655731","2.22302508755187","3.87950246444146","5.69923403606425","6.78268042041176","6.74831723785039","5.54053992426763","3.75327993527692","2.09279161144281","1.14689123673737","0.364896824676238","0.425841305877448","1.08686115425269","1.88372690315668","2.44421792376211","2.72766599258937","2.63154452053194","2.28477034860156","1.93131352069365","1.68532282964578","1.48881893005933","1.36517066206863","1.3050395348149","1.23560483605562","1.16261246255006","1.14606947382222","1.19964543196572","1.24494926371455","1.30832370007781","1.35644478934622","1.36264865877223","1.32422184194956","1.23281720292485","1.14790143802857","1.06476477284994","0.978962185634435","",
"Djibouti","DJI","Rural population","SP.RUR.TOTL","41546","42968","44635","46503","48464","50458","52513","54656","56831","58960","61026","62874","64578","66623","69558","73662","79115","85525","91882","96991","100164","101128","100394","100404","102661","106722","112981","120910","129351","136720","141949","144951","146623","147159","147787","149402","152243","156010","160324","164599","168403","171687","174605","177224","179660","182020","184283","186438","188587","190863","193254","195799","198473","201196","203878","206407","208790","211025","213101","",
"Djibouti","DJI","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Completeness of birth registration (%)","SP.REG.BRTH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92","","","","","","","","","","","","","",
"Djibouti","DJI","Completeness of birth registration, urban (%)","SP.REG.BRTH.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92","","","","","","","","","","","","","",
"Djibouti","DJI","Completeness of birth registration, rural (%)","SP.REG.BRTH.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.3","","","","","","","","","","","","","",
"Djibouti","DJI","Completeness of birth registration, male (%)","SP.REG.BRTH.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93","","","","","","","","","","","","","",
"Djibouti","DJI","Completeness of birth registration, female (%)","SP.REG.BRTH.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91","","","","","","","","","","","","","",
"Djibouti","DJI","Population, male (% of total population)","SP.POP.TOTL.MA.ZS","49.7082526245307","49.7101793159554","49.7213464539346","49.7256952036415","49.7322972244428","49.7416852212636","49.754223770305","49.7743617061756","49.7864191026755","49.7915123858322","49.7864238203204","49.7591101244598","49.7202028599006","49.7016828550289","49.7348669460961","49.8249151340236","49.9658024750962","50.127580440549","50.2733695228695","50.382944537015","50.4479607755739","50.4760837907472","50.4762918280262","50.4573387506348","50.427567250713","50.398723708201","50.3716224395247","50.3437431807104","50.322594060791","50.3079692474129","50.2985299622455","50.2968642630796","50.3006259653687","50.3075162003803","50.3123573985642","50.3135385518374","50.3190403465243","50.333203199477","50.3414576796749","50.3232267530319","50.2746046765713","50.1720964940881","50.0347414207434","49.9430650611672","49.9969543765609","50.2556023124221","50.7492253515809","51.4247829800759","52.1611149969193","52.7943272692131","53.2129484380988","53.3848520097321","53.3567321249205","53.1982483787994","53.0089339462138","52.8575554869923","52.7572953675371","52.6847791547506","52.6332145542447","",
"Djibouti","DJI","Population, male","SP.POP.TOTL.MA.IN","41574","43993","46839","50038","53503","57185","61131","65402","69931","74631","79489","84278","89111","94716","102046","111699","124193","139094","154846","169330","181088","189254","194471","198702","204744","214504","228869","246850","266206","283669","296962","305224","309376","311149","313127","317171","323881","332634","342555","352250","360763","367769","373730","379388","385778","393629","403235","414201","425821","437044","447094","455733","463209","469896","476389","483114","490174","497395","504710","",
"Djibouti","DJI","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","50.2917473754693","50.2898206840446","50.2786535460654","50.2743047963585","50.2677027755573","50.2583147787364","50.245776229695","50.2256382938244","50.2135808973245","50.2084876141678","50.2135761796796","50.2408898755402","50.2797971400994","50.2983171449711","50.2651330539039","50.1750848659764","50.0341975249038","49.872419559451","49.7266304771305","49.617055462985","49.5520392244261","49.5239162092528","49.5237081719738","49.5426612493652","49.572432749287","49.601276291799","49.6283775604753","49.6562568192896","49.677405939209","49.6920307525871","49.7014700377545","49.7031357369204","49.6993740346313","49.6924837996197","49.6876426014358","49.6864614481626","49.6809596534757","49.666796800523","49.6585423203251","49.6767732469681","49.7253953234287","49.8279035059119","49.9652585792566","50.0569349388328","50.0030456234391","49.7443976875779","49.2507746484191","48.5752170199241","47.8388850030807","47.2056727307869","46.7870515619012","46.6151479902679","46.6432678750795","46.8017516212006","46.9910660537862","47.1424445130077","47.2427046324629","47.3152208452494","47.3667854457553","",
"Djibouti","DJI","Population, female","SP.POP.TOTL.FE.IN","42062","44505","47365","50590","54080","57778","61735","65995","70531","75256","80170","85094","90113","95852","103135","112484","124363","138385","153162","166755","177872","185683","190800","195100","201273","211109","225492","243480","262793","280195","293436","301620","305678","307346","309239","313217","319773","328229","337908","347725","356821","365246","373212","380253","385825","389625","391328","391250","390537","390779","393104","397941","404927","413397","422307","430879","438938","446702","454210","",
"Djibouti","DJI","Population, total","SP.POP.TOTL","83636","88498","94204","100628","107583","114963","122866","131397","140462","149887","159659","169372","179224","190568","205181","224183","248556","277479","308008","336085","358960","374937","385271","393802","406017","425613","454361","490330","528999","563864","590398","606844","615054","618495","622366","630388","643654","660863","680463","699975","717584","733015","746942","759641","771603","783254","794563","805451","816358","827823","840198","853674","868136","883293","898696","913993","929112","944097","958920","",
"Djibouti","DJI","Technicians in R&D (per million people)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
