"Data Source","World Development Indicators",

"Last Updated Date","2020-02-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Algeria","DZA","Binding coverage, manufactured products (%)","TM.TAX.MANF.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Algeria","DZA","Import volume index (2000 = 100)","TM.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","145.2648928","170.6185318","166.9694288","179.3973395","153.1697716","148.5496746","113.9698254","74.30597983","77.38691849","93.56690478","89.32167585","116.1087742","122.1201447","113.0801489","119.914502","120.9632058","106.1574161","107.8328237","105.8359196","93.96025453","100","114.6932561","141.9963087","137.2648062","172.0240203","183.042962","183.5630659","206.8173241","268.8801632","309.3874927","322.2148986","331.1129197","381.681472","422.6553966","459.6667685","493.3497918","472.3592277","430.7904734","418.7887617","",
"Algeria","DZA","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","60.8742269237871","57.1304970595921","29.2285335750679","53.3478382760534","49.1518421266148","41.7057405969629","41.5812102787645","40.4053221531376","42.7038043028179","45.6401257250177","46.5920803419555","41.0460651389937","41.3795976395638","47.3086619128187","66.0271693656993","65.5485479241939","58.324669419467","62.3167152548857","56.4167911421585","54.0076768115722","57.6900224378951","57.9476192950814","52.9209039548676","47.0929404113303","42.9864801447755","39.1488339502361","26.783344547551","22.8745598694375","26.2315868870353","34.2252204064994","36.5057033196926","44.2083292506314","41.288829588078","38.4311557625528","42.4186866148855","48.7452696802611","47.5911539522738","46.8721500441956","40.6929167798103","44.58757722121","56.9524282110982","53.1079180269695","54.2089898730819","52.3722129462161","57.9819923403425","64.3023273168474","64.9990498053376","65.0428415011226","69.4612327215104","61.5589476961969","60.4980989375719","60.3633654431169","58.4723581515","57.2106195784453","55.4892947093479","52.0368836566423","48.1869574152845","48.5392621044585","50.5789798806462","",
"Algeria","DZA","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.67857142857155","1.63268525456474","1.51187763119594","1.24928401290692","1.17097157739247","1.41377204171107","1.00189762457127","0.958605973497109","0.808631766179065","0.952784991230104","1.20397720165126","0.923644158656214","1.05109301248615","","",
"Algeria","DZA","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","186000000","188000000","144000000","269000000","251000000","193000000","194000000","248000000","255000000","341000000","660000000","414000000","502000000","613000000","574000000","716000000","595000000","598000000","531000000","679000000","762000000","556000000","632000000","","",
"Algeria","DZA","International tourism, expenditures for travel items (current US$)","ST.INT.TVLX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","186000000","188000000","144000000","269000000","251000000","193000000","194000000","248000000","255000000","341000000","370000000","349000000","376000000","468000000","456000000","601000000","527000000","529000000","471000000","608000000","685000000","474000000","580000000","","",
"Algeria","DZA","International tourism, receipts for travel items (current US$)","ST.INT.TVLR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32000000","45000000","28000000","74000000","80000000","102000000","100000000","111000000","112000000","178000000","184000000","220000000","219000000","323000000","246000000","220000000","209000000","217000000","250000000","258000000","311000000","209000000","141000000","","",
"Algeria","DZA","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","290000000","65000000","126000000","145000000","118000000","115000000","68000000","69000000","60000000","71000000","77000000","82000000","52000000","","",
"Algeria","DZA","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","293000000","173000000","115000000","150000000","115000000","104000000","91000000","78000000","76000000","58000000","36000000","37000000","31000000","","",
"Algeria","DZA","International tourism, receipts (% of total exports)","ST.INT.RCPT.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.976638479965647","0.68581599888312","0.527401573569811","0.5800519939778","0.750374408625828","0.534761702227844","0.392735345525801","0.392350205138552","0.475289538965656","0.496957474451068","0.915438622972477","0.751217242491807","0.457791432400667","","",
"Algeria","DZA","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32000000","45000000","28000000","74000000","80000000","102000000","100000000","111000000","112000000","178000000","477000000","393000000","334000000","473000000","361000000","324000000","300000000","295000000","326000000","316000000","347000000","246000000","172000000","","",
"Algeria","DZA","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1090000","874000","827000","879000","903000","1006000","1190000","1257000","1254000","1417000","1513000","1349000","1499000","1539000","1677000","1757000","1715000","1911000","2136000","2839000","3638000","4530000","5058000","5610000","",
"Algeria","DZA","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","520000","605000","635000","678000","749000","866000","901000","988000","1166000","1234000","1443000","1638000","1743000","1772000","1912000","2070000","2395000","2634000","2733000","2301000","1710000","2039000","2451000","2657000","",
"Algeria","DZA","Unmet need for contraception (% of married women ages 15-49)","SP.UWT.TFRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.8","","","","","","10.4","7","","","","","","",
"Algeria","DZA","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","30.51","31.797","33.214","34.662","36.141","37.643","38.84","39.004","39.169","39.334","39.5","39.665","39.831","39.997","40.163","40.33","40.497","40.928","41.794","42.665","43.542","44.42","45.303","46.189","47.079","47.968","48.86","49.722","50.511","51.298","52.085","52.871","53.657","54.439","55.219","55.997","56.774","57.544","58.313","59.118","59.919","60.712","61.501","62.284","63.061","63.83","64.593","65.348","66.097","66.826","67.54","68.236","68.915","69.576","70.221","70.848","71.459","72.052","72.629","",
"Algeria","DZA","Urban population","SP.URB.TOTL","3373754","3604616","3859410","4129216","4417036","4724530","5011380","5177791","5351889","5531038","5713669","5899078","6088563","6283459","6485933","6697888","6919237","7196331","7565661","7956090","8369497","8805955","9265778","9746745","10246073","10759943","11287827","11821049","12346640","12878973","13416507","13958197","14502589","15044498","15579364","16103497","16615709","17115300","17606301","18103945","18600197","19094843","19591211","20095408","20616005","21159469","21729732","22327433","22955890","23612219","24299173","25016303","25763106","26536378","27332602","28146511","28977628","29821745","30670086","",
"Algeria","DZA","Urban population growth (annual %)","SP.URB.GROW","5.52615435764972","6.6189175365716","6.8299075713699","6.75732363912807","6.73813244650775","6.72992021892244","5.89432411707538","3.2667191170758","3.30710652603495","3.29259186554238","3.24858728783388","3.19346932793179","3.16160257739734","3.15085317383203","3.1715052864447","3.2156574932473","3.25132506120453","3.92658093720862","5.00484066903136","5.03179536476602","5.06561139711842","5.08344100522144","5.08996309809398","5.06055549676004","4.99611271063558","4.89357470986051","4.78946311013087","4.61568675018861","4.35022053552903","4.22120201919544","4.08898330322548","3.9581119760711","3.8260250946962","3.66851577461618","3.49348750849026","3.30892353305084","3.13121198064248","2.96242271321106","2.8284049024653","2.78730209870044","2.70423017369464","2.62461265351053","2.56627487035206","2.54102839536063","2.55763846269592","2.60197962771593","2.65939488550809","2.71346407752666","2.775844667145","2.81897838213093","2.86779845651849","2.90854154847896","2.94157361714409","2.95730778410233","2.95636557978189","2.93432016018453","2.91006802487874","2.87137414065366","2.80499567674668","",
"Algeria","DZA","Rural population (% of total population)","SP.RUR.TOTL.ZS","69.49","68.203","66.786","65.338","63.859","62.357","61.16","60.996","60.831","60.666","60.5","60.335","60.169","60.003","59.837","59.67","59.503","59.072","58.206","57.335","56.458","55.58","54.697","53.811","52.921","52.032","51.14","50.278","49.489","48.702","47.915","47.129","46.343","45.561","44.781","44.003","43.226","42.456","41.687","40.882","40.081","39.288","38.499","37.716","36.939","36.17","35.407","34.652","33.903","33.174","32.46","31.764","31.085","30.424","29.779","29.152","28.541","27.948","27.371","",
"Algeria","DZA","Rural population growth (annual %)","SP.RUR.TOTL.ZG","1.22107237912989","0.617730543623746","0.370446316170617","0.298108719835619","0.270101457326864","0.277858387912904","0.825728615717564","2.57684748460703","2.61407934970107","2.60061069872074","2.55345431985701","2.50351476885901","2.46845342767419","2.45868854932961","2.48030233053807","2.52124039711003","2.55782127379257","2.14096177884053","1.43414706419752","1.46146928173021","1.48947979128851","1.51968260217444","1.52017723817094","1.49061500953654","1.41981672837167","1.32872363020883","1.21778106536467","1.16691146064491","1.19412337701707","1.07211818032496","0.937304159697855","0.806310079305103","0.668497655280764","0.519813563425219","0.344042087388626","0.157208600410867","-0.0283896644560284","-0.182108275243332","-0.327007384090082","-0.533676320249369","-0.620341336749646","-0.688482107716166","-0.753625467287142","-0.778871654882599","-0.76380123990763","-0.713885902521316","-0.660922577262066","-0.604031787671952","-0.549000231591794","-0.45161076024537","-0.370770542832764","-0.284186607638594","-0.209405059482675","-0.146629442102488","-0.109239829255659","-0.0826061897006335","-0.0668357018033298","-0.0546470557579523","-0.0787864813063178","",
"Algeria","DZA","Rural population","SP.RUR.TOTL","7684109","7731723","7760418","7783587","7804639","7826355","7891247","8097235","8311694","8530684","8751316","8973172","9197427","9426366","9663092","9909819","10166564","10386573","10536605","10691725","10852168","11018346","11187124","11355130","11517502","11671559","11814562","11953235","12096827","12227217","12342362","12442282","12525737","12591017","12634410","12654288","12650696","12627679","12586453","12519461","12442038","12356671","12263898","12168749","12076158","11990255","11911270","11839539","11774718","11721662","11678282","11645141","11620781","11603754","11591085","11581514","11573776","11567453","11558343","",
"Algeria","DZA","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Algeria","DZA","Completeness of birth registration (%)","SP.REG.BRTH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.4","","","","","","","100","","","","","","",
"Algeria","DZA","Completeness of birth registration, urban (%)","SP.REG.BRTH.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.6","","","","","","","99.7","","","","","","",
"Algeria","DZA","Completeness of birth registration, rural (%)","SP.REG.BRTH.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.2","","","","","","","99.5","","","","","","",
"Algeria","DZA","Completeness of birth registration, male (%)","SP.REG.BRTH.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","","",
"Algeria","DZA","Completeness of birth registration, female (%)","SP.REG.BRTH.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","","",
"Algeria","DZA","Population, male (% of total population)","SP.POP.TOTL.MA.ZS","50.2632515646783","50.244232351617","50.2200032565026","50.1954368410449","50.1771156572237","50.1692949020308","50.1722130053216","50.1831786317459","50.1994242944071","50.2173417711797","50.2345801504764","50.2507521893287","50.2664792706944","50.2814256881567","50.2957021906843","50.3092781146294","50.3222003255452","50.3346348062399","50.3467466448676","50.3587313056376","50.3708758957799","50.3824927562375","50.39386833193","50.4073074075171","50.4255642155899","50.4499541649163","50.4811148077952","50.5171406402219","50.5536733897705","50.5854571653081","50.6092231057323","50.6238033356075","50.6308898847986","50.6337514872618","50.6367013533849","50.6424033726099","50.6518410266512","50.6633329948781","50.6738107658295","50.6790622832744","50.6764331875814","50.6655721141301","50.6480906830961","50.6257919197584","50.601295668719","50.5766775707306","50.5521698562709","50.5280127805282","50.5064006373169","50.4898499406321","50.4798408314141","50.4770462086075","50.4804568405238","50.4878024160114","50.4960603938661","50.5031234881577","50.5084954161137","50.5126195560221","50.515732120185","",
"Algeria","DZA","Population, male","SP.POP.TOTL.MA.IN","5558041","5695857","5835478","5979684","6132484","6296691","6473534","6661830","6859040","7061423","7266424","7473417","7683729","7899124","8122266","8355218","8597951","8850291","9113902","9390803","9682121","9987977","10307009","10636887","10974405","11316682","11662344","12010088","12357070","12700081","13036363","13364927","13684682","13992898","14286524","14563633","14823973","15068784","15299819","15519655","15731097","15935090","16134004","16333985","16542658","16766029","17006256","17263892","17541180","17840023","18161362","18505614","18871557","19256114","19654928","20063894","20481904","20906768","21332000","",
"Algeria","DZA","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","49.7367484353217","49.755767648383","49.7799967434974","49.8045631589551","49.8228843427763","49.8307050979692","49.8277869946784","49.8168213682541","49.8005757055928","49.7826582288203","49.7654198495236","49.7492478106713","49.7335207293056","49.7185743118433","49.7042978093157","49.6907218853706","49.6777996744548","49.6653651937601","49.6532533551324","49.6412686943624","49.6291241042201","49.6175072437625","49.60613166807","49.5926925924829","49.5744357844101","49.5500458350837","49.5188851922048","49.4828593597781","49.4463266102295","49.4145428346919","49.3907768942677","49.3761966643925","49.3691101152013","49.3662485127382","49.3632986466151","49.3575966273901","49.3481589733488","49.3366670051219","49.3261892341705","49.3209377167256","49.3235668124186","49.3344278858699","49.3519093169039","49.3742080802416","49.398704331281","49.4233224292694","49.4478301437291","49.4719872194718","49.4935993626831","49.510150059368","49.5201591685859","49.5229537913925","49.5195431594762","49.5121975839886","49.5039396061339","49.4968765118423","49.4915045838864","49.4873804439779","49.4842678798151","",
"Algeria","DZA","Population, female","SP.POP.TOTL.FE.IN","5499822","5640482","5784350","5933119","6089191","6254194","6429093","6613196","6804543","7000299","7198561","7398833","7602261","7810701","8026759","8252489","8487850","8732613","8988364","9257012","9539544","9836324","10145893","10464988","10789170","11114820","11440045","11764196","12086397","12406109","12722506","13035552","13343644","13642617","13927250","14194152","14442432","14674195","14892935","15103751","15311138","15516424","15721105","15930172","16149505","16383695","16634746","16903080","17189428","17493858","17816093","18155830","18512330","18884018","19268759","19664131","20069500","20482430","20896429","",
"Algeria","DZA","Population, total","SP.POP.TOTL","11057863","11336339","11619828","11912803","12221675","12550885","12902627","13275026","13663583","14061722","14464985","14872250","15285990","15709825","16149025","16607707","17085801","17582904","18102266","18647815","19221665","19824301","20452902","21101875","21763575","22431502","23102389","23774284","24443467","25106190","25758869","26400479","27028326","27635515","28213774","28757785","29266405","29742979","30192754","30623406","31042235","31451514","31855109","32264157","32692163","33149724","33641002","34166972","34730608","35333881","35977455","36661444","37383887","38140132","38923687","39728025","40551404","41389198","42228429","",
"Algeria","DZA","Technicians in R&D (per million people)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.06588","","","","","","","","","","","","41.93364","","",
"Algeria","DZA","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","168.0163","","","","","","","","","","","","820.75157","","",
"Algeria","DZA","Population growth (annual %)","SP.POP.GROW","2.51501654946763","2.48716480510207","2.46995425792679","2.4900754874982","2.55973106028047","2.65801662932119","2.76397530261668","2.84535916488485","2.88495927358202","2.87222355590979","2.8274547451992","2.77661589490857","2.74396622362803","2.73495901767324","2.75733635253731","2.80071883984573","2.83809029715134","2.86792986291784","2.91100574775562","2.96918572434158","3.03090472527547","3.08704800852557","3.12162711240806","3.12371195818026","3.08758016794359","3.02286094051312","2.94697219159109","2.86684602165527","2.77584895427799","2.67514474264032","2.56645657133517","2.46031589342803","2.35032732559065","2.22162937165606","2.07085775129983","1.90982147845309","1.75317579614436","1.61528329807518","1.50088576780198","1.41626567134276","1.35840780581394","1.30984253035285","1.27506554250519","1.27591463464404","1.31784619068686","1.38990052346238","1.47112298248818","1.55138258255494","1.63619266255068","1.72209322425389","1.80501869558372","1.88331383359771","1.95141520944077","2.00272783896316","2.03359245164506","2.04538724285729","2.05135458384022","2.0449525028769","2.00737383000812","",
"Algeria","DZA","Age dependency ratio, young (% of working-age population)","SP.POP.DPND.YG","85.4387838540935","87.3388830179855","89.8164807545573","92.4146200722744","94.4319205339316","95.53782140521","96.6129711336773","96.6074097722638","95.9235804421916","95.1381340426582","94.5232250593405","94.5400727337438","94.6485007333083","94.7505742049811","94.6571628643828","94.2968726578736","94.29521148757","93.969612472197","93.4312017363747","92.8222628682258","92.213632429893","91.8441767205116","91.2881920450622","90.5737849021061","89.6871257832187","88.6117096638319","87.5773449217356","86.3170350552552","84.8520341905058","83.1918462108595","81.3426611735027","79.4737346165054","77.4461591365637","75.2442779302921","72.8288533815605","70.1890779613237","67.56369131548","64.7097573843703","61.7399276168575","58.8143694735234","56.0293343428145","53.1399594423837","50.5549213711793","48.2295927754176","46.135768359189","44.3067618470259","42.9156411900222","41.8697237506183","41.1479832644712","40.7191949931871","40.5625468799053","40.99353529001","41.4415275629575","42.0140885268603","42.8229847868748","43.8759358654142","44.9206662313416","46.1796676623911","47.4865903381357","",
"Algeria","DZA","Age dependency ratio, old (% of working-age population)","SP.POP.DPND.OL","6.2108025984803","6.44661092366386","6.72923633754469","7.00879516501125","7.21756730201749","7.32335391380511","7.3816799191397","7.34478423436496","7.25772261961393","7.17543978030804","7.12327995631662","7.18199603832763","7.24888154641398","7.3025060262906","7.31479022977041","7.27642938055533","7.24330993661595","7.16460631562379","7.06068395502589","6.95611249365375","6.86345282033203","6.82886106978555","6.79740074971296","6.7575875119604","6.69403580281481","6.60303828842157","6.54815927972265","6.47469681320064","6.39856103557367","6.33813943899217","6.30346756278426","6.30214956390254","6.31046268132813","6.32868028584117","6.35762055426439","6.39838042827968","6.50227238406702","6.62065824727876","6.74978886296947","6.8843911109851","7.02334568729136","7.11110035462438","7.19798469185498","7.2857200629057","7.37436620802933","7.46642385196593","7.57484072707642","7.68826848410833","7.8117934533217","7.95077776191989","8.11198868902637","8.21955943821732","8.33669511342277","8.48312864559405","8.68620464764509","8.96185243837827","9.26334759584305","9.62433381113148","10.0214421059224","",
"Algeria","DZA","Age dependency ratio (% of working-age population)","SP.POP.DPND","91.6495864525739","93.7854939416493","96.545717092102","99.4234152372857","101.649487835949","102.861175319015","103.994651052817","103.952194006629","103.181303061805","102.313573822966","101.646505015657","101.722068772071","101.897382279722","102.053080231272","101.971953094153","101.573302038429","101.538521424186","101.134218787821","100.491885691401","99.7783753618796","99.0770852502251","98.6730377902971","98.0855927947752","97.3313724140666","96.3811615860335","95.2147479522535","94.1255042014582","92.7917318684559","91.2505952260795","89.5299856498517","87.646128736287","85.7758841804079","83.7566218178918","81.5729582161333","79.1864739358249","76.5874583896034","74.065963699547","71.3304156316491","68.489716479827","65.6987605845085","63.0526800301058","60.2510597970081","57.7529060630343","55.5153128383233","53.5101345672183","51.7731856989918","50.4904819170986","49.5579922347266","48.9597767177929","48.669972755107","48.6745355689317","49.2130947282274","49.7782226763803","50.4972171724543","51.5091894345198","52.8377883037925","54.1840138271847","55.8040014735226","57.508032444058","",
"Algeria","DZA","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","","","1.05","","","","","1.05","","","","","1.05","","","","","1.05","","","","","1.05","","","","","1.05","","","1.05","","1.05","","","","","1.05","","","","","1.05","","","","","1.05","1.05","1.05","1.05","1.05","1.05","1.05","1.05","1.05","1.05","1.05","","",
"Algeria","DZA","Population ages 80 and above, male (% of male population)","SP.POP.80UP.MA.5Y","0.269501381961489","0.286629487583515","0.293994767866488","0.291737921849356","0.280962820286201","0.261486673629057","0.279893529545613","0.292682472841159","0.296470103173345","0.288270467826319","0.267696865640174","0.281705066984736","0.286800811584998","0.286120225690763","0.283554014879106","0.278915556591768","0.308980629103449","0.334090822807122","0.348840705111817","0.349086488514925","0.334492928096931","0.348779407237203","0.353613774239818","0.351042555965857","0.343717888356063","0.332402996107075","0.353376705982383","0.369639195043501","0.378625261823734","0.378540862964507","0.369650588948683","0.386885938195969","0.39770739317035","0.4040692354029","0.408349797564502","0.411483808815588","0.442411611781939","0.470747973376752","0.494332709992544","0.510771663416487","0.519645830211863","0.553131520005944","0.579353979374619","0.600159691578039","0.618081029687318","0.634378078956929","0.678761860559691","0.719240977730748","0.757241047323048","0.795710812945095","0.836892171070889","0.89584180711461","0.951993218579722","1.00193102285009","1.04237975115555","1.0731916356603","1.11952987176337","1.15544946332181","1.18175549748212","",
