"Data Source","World Development Indicators",

"Last Updated Date","2020-02-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Fiji","FJI","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","4.92000007629395","","","","","","","","","","","","","","4.80000019073486","","","","","","","","4.09999990463257","3.33290004730225","","","","","","4.29160022735596","","","4.92999982833862","","3.69659996032715","","","",
"Fiji","FJI","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.74200010299683","4.9980001449585","5.20800018310547","5.38100004196167","5.41900014877319","5.42000007629395","5.20900011062622","4.99200010299683","5.53700017929077","5.44999980926514","5.35500001907349","5.48600006103516","5.3730001449585","5.42399978637695","5.16099977493286","4.84800004959106","4.55999994277954","4.26900005340576","4.61700010299683","4.67700004577637","4.61499977111816","4.87900018692017","5.01999998092651","5.45499992370605","5.6710000038147","5.56400012969971","5.37900018692017","5.33400011062622","5.31199979782104",
"Fiji","FJI","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","11.9499998092651","","","","","","","","","","","","","","7.84000015258789","","","","","","","","6","5.15929985046387","","","","","","4.61520004272461","","","8.51000022888184","","5.53950023651123","","","",
"Fiji","FJI","Share of youth not in education, employment or training, total (% of youth population)","SL.UEM.NEET.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.548900604248","","","","","","18.4043998718262","","","19.0900001525879","","20.0855007171631","","","",
"Fiji","FJI","Share of youth not in education, employment or training, male (% of male youth population)","SL.UEM.NEET.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.96399974822998","","","","","","10.0269002914429","","","11.4300003051758","","10.8275995254517","","","",
"Fiji","FJI","Share of youth not in education, employment or training, female (% of female youth population)","SL.UEM.NEET.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.850700378418","","","","","","27.6718006134033","","","27.3199996948242","","29.5914993286133","","","",
"Fiji","FJI","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.45329999923706","","","","","","5.37510013580322","","","","","5.54530000686646","","","",
"Fiji","FJI","Unemployment with intermediate education, male (% of male labor force with intermediate education)","SL.UEM.INTM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.41989994049072","","","","","","4.5637001991272","","","","","4.59390020370483","","","",
"Fiji","FJI","Unemployment with intermediate education, female (% of female labor force with intermediate education)","SL.UEM.INTM.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.70549964904785","","","","","","6.86140012741089","","","","","7.35010004043579","","","",
"Fiji","FJI","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.36249995231628","","","","","","2.83660006523132","","","","","2.57509994506836","","","",
"Fiji","FJI","Unemployment with basic education, male (% of male labor force with basic education)","SL.UEM.BASC.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.38190007209778","","","","","","3.17079997062683","","","","","2.60249996185303","","","",
"Fiji","FJI","Unemployment with basic education, female (% of female labor force with basic education)","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.30839991569519","","","","","","2.17400002479553","","","","","2.50340008735657","","","",
"Fiji","FJI","Unemployment with advanced education (% of total labor force with advanced education)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.76319980621338","","","","","5.02190017700195","","","",
"Fiji","FJI","Unemployment with advanced education, male (% of male labor force with advanced education)","SL.UEM.ADVN.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.58260011672974","","","","","4.15700006484985","","","",
"Fiji","FJI","Unemployment with advanced education, female (% of female labor force with advanced education)","SL.UEM.ADVN.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.06120014190674","","","","","6.25829982757568","","","",
"Fiji","FJI","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.54100036621094","8.76000022888184","9.05500030517578","9.29500007629395","9.40499973297119","9.33600044250488","9.31400012969971","8.88899993896484","9.36699962615967","9.64500045776367","9.64500045776367","9.82100009918213","9.86299991607666","9.92500019073486","9.91199970245361","10.1260004043579","10.5","10.5950002670288","12.3489999771118","13.2019996643066","13.951000213623","14.5989999771118","14.4219999313354","15.2329998016357","15.5340003967285","15.1540002822876","14.7019996643066","14.5679998397827","14.5030002593994",
"Fiji","FJI","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","14.6800003051758","","","","","","","","","","","","","","13.1199998855591","","","","","","","","","9.80060005187988","","","","","","14.1540002822876","","","18.1200008392334","","15.398699760437","","","",
"Fiji","FJI","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.38399982452393","6.46000003814697","6.60200023651123","6.76900005340576","6.8600001335144","6.76599979400635","6.86499977111816","6.52600002288818","6.7039999961853","7.05800008773804","7.11499977111816","7.13000011444092","7.15700006484985","7.12200021743774","7.14699983596802","7.57999992370605","8.13500022888184","8.40900039672852","10.1829996109009","11.1520004272461","12.0310001373291","12.4270000457764","11.8889999389648","12.2880001068115","12.2799997329712","11.7740001678467","11.335000038147","11.2209997177124","11.128999710083",
"Fiji","FJI","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","10.6599998474121","","","","","","","","","","","","","","11.2700004577637","","","","","","","","","7.08990001678467","","","","","","12.1388998031616","","","13.8599996566772","","11.8570003509521","","","",
"Fiji","FJI","Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.5050001144409","13.0590000152588","13.66100025177","14.0900001525879","14.2550001144409","14.2930002212524","14.1490001678467","13.66100025177","14.8660001754761","15.1040000915527","15.0799999237061","15.7049999237061","15.8819999694824","16.2649993896484","16.2709999084473","15.8430004119873","15.6870002746582","15.2819995880127","16.8850002288818","17.3899993896484","17.7810001373291","18.7670001983643","19.0900001525879","20.443000793457","21.7700004577637","22.1560001373291","21.7430000305176","21.5279998779297","21.4820003509521",
"Fiji","FJI","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","28","","","","","","","","","","","","","","16.7000007629395","","","","","","","","","15.9982995986938","","","","","","18.3987998962402","","","25.7299995422363","","22.3539009094238","","","",
"Fiji","FJI","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","269084","273672","277403","282543","287547","293129","296235","298197","300030","301366","302207","307433","311771","315781","320133","325095","333754","343713","354448","365120","375053","382376","375486","367337","358529","354210","352443","353751","356596","359713",
"Fiji","FJI","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.9804076050601","32.9679324154462","32.9264643857493","32.9072035053072","32.8836677134521","32.8705109354585","32.8668118216956","32.583828811155","32.3047695230477","32.0205331722888","31.7285833882074","31.4143244219066","31.1026362297969","30.7995097868459","30.5063832844474","30.2262415601593","31.0998519867927","31.9595127330069","32.8144043696113","33.6650964066608","34.5167216366753","35.3709437830826","35.0574988148693","34.7707962987665","34.505158578525","33.6255328759775","32.7610422110809","32.7854903590379","32.9672794983679","33.1739470077534",
"Fiji","FJI","Part time employment, total (% of total employment)","SL.TLF.PART.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fiji","FJI","Part time employment, male (% of total male employment)","SL.TLF.PART.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fiji","FJI","Part time employment, female (% of total female employment)","SL.TLF.PART.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fiji","FJI","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.7844009399414","","","","","","60.1809997558594","","","","","54.6258010864258","","","",
"Fiji","FJI","Labor force with intermediate education, male (% of male working-age population with intermediate education)","SL.TLF.INTM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.4586029052734","","","","","","77.3050994873047","","","","","73.5086975097656","","","",
"Fiji","FJI","Labor force with intermediate education, female (% of female working-age population with intermediate education)","SL.TLF.INTM.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.4561004638672","","","","","","42.810001373291","","","","","36.7279014587402","","","",
"Fiji","FJI","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.9959983825684","60.1570014953613","59.9449996948242","59.8779983520508","59.6839981079102","59.5940017700195","59.3559989929199","58.826000213623","58.3030014038086","57.8089981079102","57.3559989929199","57.2099990844727","57.1279983520508","57.0810012817383","57.0320014953613","56.9609985351563","57.890998840332","58.7890014648438","59.6599998474121","60.5340003967285","61.4370002746582","62.4080009460449","61.2470016479492","60.0289993286133","58.7430000305176","58.1279983520508","57.5040016174316","57.3079986572266","57.2620010375977","57.1879997253418",
"Fiji","FJI","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","","","","","","49.5400009155273","","","","","","","","","","50.7900009155273","","","","","","54.3300018310547","","","","54.6300010681152","","","","","34.0999984741211","35.2200012207031","35.1500015258789","","","59.4500007629395","","","","","","","","58.2000007629395","56.7274017333984","","","39.2999992370605","39.2999992370605","56.9900016784668","63.0560989379883","","","58.8899993896484","","57.5839996337891","","","",
"Fiji","FJI","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.7060012817383","79.911003112793","79.6620025634766","79.5910034179688","79.3659973144531","79.2689971923828","78.9820022583008","78.6340026855469","78.2799987792969","77.9459991455078","77.6510009765625","77.7320022583008","77.879997253418","78.0650024414063","78.2440032958984","78.3949966430664","78.6050033569336","78.7720031738281","78.9039993286133","79.0370025634766","79.2020034790039","79.4440002441406","78.4069976806641","77.2639999389648","75.9940032958984","76.2880020141602","76.5240020751953","76.2990036010742","76.0879974365234","75.8420028686523",
"Fiji","FJI","Labor force participation rate, male (% of male population ages 15+) (national estimate)","SL.TLF.CACT.MA.NE.ZS","","","","","","","89.8899993896484","","","","","","","","","","84.0999984741211","","","","","","86.9100036621094","","","","85.5500030517578","","","","","","","","","","79.1600036621094","","","","","","","","","78.0273971557617","","","","","","79.8421020507813","","","75.9199981689453","","76.9944000244141","","","",
"Fiji","FJI","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.100366365231","50.1032356494762","50.0301251032183","49.9918329410845","49.9332238100639","49.8934017558897","49.8543950834638","49.1822856087235","48.5334710938727","47.9011138606835","47.2820693756023","46.6950545856211","46.1325149857164","45.5927726136556","45.0667138084001","44.5513109041419","46.5072166469393","48.467728782067","50.4385084081046","52.4210153001032","54.4228658344222","56.4573801071826","55.5996314864256","54.7939513468108","54.0437375498033","51.8600548982765","49.7817680566021","49.7542562928078","50.0946304454244","50.4298412506163",
