"Data Source","World Development Indicators",

"Last Updated Date","2020-02-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Gabon","GAB","Presence of peace keepers (number of troops, police, and military observers in mandate)","VC.PKP.TOTL.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Internally displaced persons, total displaced by conflict and violence (number of people)","VC.IDP.TOCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Internally displaced persons, new displacement associated with disasters (number of cases)","VC.IDP.NWDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","800","","","1600","1800","","","","8","","",
"Gabon","GAB","Internally displaced persons, new displacement associated with conflict and violence (number of cases)","VC.IDP.NWCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Battle-related deaths (number of people)","VC.BTL.DETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Travel services (% of commercial service exports)","TX.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","","","","10.8014861995754","6.74623767514272","5.78099838969405","2.74774201755502","2.46690734055354","1.98990627253065","1.31184407796101","7.16825753322104","12.3387549074593","5.71976967370439","3.93061450452113","1.48479849163328","1.44131777625257","1.46163215590743","1.69491525423729","1.35970333745365","2.6173285198556","9.06806304743277","4.79425873898669","9.11952067186726","12.1637910555443","5.98410258087731","11.9237739034017","10.4931984121695","26.8810330499265","8.97649847468614","7.28627584061538","7.75673360616732","","15.0162317547642","23.5888697794263","13.6793931773329","20.3468432142295","7.16632798071581","12.974815122806","23.0604703934255","30.5552396656622","9.20286762295337","","","","",
"Gabon","GAB","Transport services (% of commercial service exports)","TX.VAL.TRAN.ZS.WT","","","","","","","","","","","","","","","","","","","11.6852441613588","21.9252724442138","23.7665056360709","24.0936267650426","37.6594464500601","20.5594808940159","38.0434782608695","43.9453490548381","61.4217610768368","69.5662188099805","32.4174201882266","29.2033938251237","33.3905284831846","33.3739342265529","30.6295399515739","27.8121137206428","35.1985559566787","46.5116768135599","48.1575979970569","49.9028047764509","54.5298573779","60.9486114291321","55.9358217970891","48.8524402897694","24.7608088815019","52.239075670447","60.7010548344222","22.0963801909838","","18.7891854385052","28.3862123148467","19.885830685582","7.51139616431521","14.1952340151151","6.85604823141577","2.18714544172212","2.56155114573264","5.89050331854988","","","","",
