"Data Source","World Development Indicators",

"Last Updated Date","2020-02-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Guyana","GUY","Binding coverage, manufactured products (%)","TM.TAX.MANF.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","100","100","100","100","100","","","99.95","99.97","99.97","99.97","99.97","99.97","99.97","99.97","","99.97","99.97","99.97","99.97","",
"Guyana","GUY","Import volume index (2000 = 100)","TM.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","105.1528945","103.3445468","97.24425981","98.05990097","101.7554286","105.9988949","114.5728514","121.3975167","121.1546327","134.1798635","143.3203767","163.1638464","156.5390632","151.7933232","145.4338905","149.4495278","161.1131004","170.25077","",
"Guyana","GUY","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","93.9986291980809","92.5485247959824","86.6896169958109","97.2934948556256","93.441928721174","94.2620689655172","99.2541152263374","97.131436632965","97.9325353645267","97.8740473325311","100.821508588499","101.400460911186","101.618554980811","101.93858560794","120.980412695087","143.292631578947","141.49282633571","127.367297946119","113.394336199416","115.187391599427","126.160477453581","138.509714371303","111.825726141079","85.8310626702997","96.6566388059748","95.2615384615385","90.161294477479","142.981290849459","107.781539579061","127.705718937409","143.223752692898","159.238823589796","196.480934651431","197.753196671402","177.859970793633","157.972600642325","162.034345850733","163.654758448667","142.711667113197","144.367441321214","150.280376724967","149.122206114069","144.60192050653","146.555328673367","157.905216364387","162.568992497255","101.2716402638","99.8747001056987","109.911611495937","93.3380747704011","100.166061783068","112.57658585036","119.270513198036","108.779904929985","96.112502278175","82.6655569456519","82.448060410652","86.2959885581965","81.8581122007589","",
"Guyana","GUY","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.96471983397569","9.23820352472996","9.13060738388249","9.49367088607595","11.7680826636051","10.359208933136","8.45377692937006","6.19980273354939","4.30169199885288","3.75292916121033","4.35743612815655","4.64378386882164","4.62006718214934","3.15379818207264","3.58171330284347","4.14086277741826","3.58394575480498","3.25000083571169","3.40680089750839","3.4724048471807","5.23612017538906","5.33165659289248","4.24011877647375","2.63362399948619","",
"Guyana","GUY","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21000000","65000000","69000000","69000000","82000000","77000000","62000000","44000000","30000000","30000000","40000000","49000000","58000000","52000000","52000000","73000000","79000000","82000000","81000000","77000000","93000000","103000000","94000000","80000000","",
"Guyana","GUY","International tourism, expenditures for travel items (current US$)","ST.INT.TVLX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21000000","59000000","62000000","63000000","75000000","69000000","55000000","38000000","26000000","30000000","40000000","49000000","58000000","52000000","52000000","73000000","79000000","82000000","81000000","77000000","93000000","103000000","94000000","80000000","",
"Guyana","GUY","International tourism, receipts for travel items (current US$)","ST.INT.TVLR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33000000","109000000","112000000","108000000","106000000","75000000","61000000","49000000","26000000","27000000","35000000","37000000","50000000","59000000","35000000","80000000","95000000","64000000","77000000","79000000","65000000","104000000","95000000","28000000","",
"Guyana","GUY","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6000000","7000000","6000000","7000000","8000000","7000000","6000000","4000000","","","","","","","","","","","","","","","","",
"Guyana","GUY","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3000000","3000000","3000000","3000000","5000000","4000000","4000000","2000000","","","","","","","","","","","","","","","","",
"Guyana","GUY","International tourism, receipts (% of total exports)","ST.INT.RCPT.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.24496364286566","15.7215047725997","15.5678895356708","16.1595574319406","16.2856715971911","11.9012198750372","9.88743535138424","8.0012077294686","4.21179302045728","3.62471086218447","5.04688556691666","5.08768697249624","5.89777040687538","5.82198122702592","3.72939184027743","7.06071200997234","6.6588400163188","3.73564748453634","5.00063378896387","5.86040686701926","5.01505854167429","6.21062813162661","5.7799423895798","1.75306045052141","",
"Guyana","GUY","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33000000","112000000","115000000","111000000","109000000","80000000","65000000","53000000","28000000","27000000","35000000","37000000","50000000","59000000","35000000","80000000","95000000","64000000","77000000","79000000","65000000","104000000","95000000","28000000","",
"Guyana","GUY","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106000","92000","76000","66000","75000","105000","99000","104000","101000","122000","117000","113000","134000","130000","141000","152000","157000","177000","200000","206000","207000","235000","247000","287000","",
"Guyana","GUY","Unmet need for contraception (% of married women ages 15-49)","SP.UWT.TFRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.5","","","","","28","","","","","",
"Guyana","GUY","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","29.009","29.049","29.089","29.129","29.169","29.209","29.249","29.289","29.329","29.369","29.425","29.533","29.641","29.75","29.858","29.967","30.076","30.186","30.295","30.405","30.488","30.396","30.305","30.215","30.124","30.033","29.943","29.853","29.763","29.673","29.583","29.493","29.404","29.315","29.226","29.137","29.048","28.959","28.871","28.782","28.694","28.606","28.518","28.307","28.064","27.822","27.582","27.343","27.105","26.869","26.634","26.4","26.4","26.4","26.414","26.441","26.482","26.538","26.606","",
