"Data Source","World Development Indicators",

"Last Updated Date","2020-02-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Haiti","HTI","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","11.1999998092651","","","","","","","11.2200002670288","","","","","","","","","6.19999980926514","","","","","","","","14.8999996185303","","","","","","","","","","","","",
"Haiti","HTI","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.91699981689453","8.01900005340576","8.22700023651123","8.3129997253418","8.37399959564209","8.1540002822876","8.26799964904785","8.19799995422363","8.32400035858154","9.59099960327148","10.9340000152588","12.5539999008179","13.9329996109009","15.3950004577637","16.9099998474121","17.9419994354248","19.0419998168945","18.2929992675781","18.8810005187988","18.4060001373291","17.9169998168945","17.1189994812012","17.1830005645752","16.9120006561279","16.7089996337891","16.5909996032715","16.2719993591309","16.3449993133545","16.2310009002686",
"Haiti","HTI","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","13.5","","","","","","","11.3000001907349","","","","","","","","","8.30000019073486","","","","","","","","19.2000007629395","","","","","","","","","","","","",
"Haiti","HTI","Share of youth not in education, employment or training, total (% of youth population)","SL.UEM.NEET.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.190299987793","","","","","","","",
"Haiti","HTI","Share of youth not in education, employment or training, male (% of male youth population)","SL.UEM.NEET.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.6767997741699","","","","","","","",
"Haiti","HTI","Share of youth not in education, employment or training, female (% of female youth population)","SL.UEM.NEET.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.6707000732422","","","","","","","",
"Haiti","HTI","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.6968002319336","","","","","","","",
"Haiti","HTI","Unemployment with intermediate education, male (% of male labor force with intermediate education)","SL.UEM.INTM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.7248001098633","","","","","","","",
"Haiti","HTI","Unemployment with intermediate education, female (% of female labor force with intermediate education)","SL.UEM.INTM.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.2261009216309","","","","","","","",
"Haiti","HTI","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.0370006561279","","","","","","","",
"Haiti","HTI","Unemployment with basic education, male (% of male labor force with basic education)","SL.UEM.BASC.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.2170000076294","","","","","","","",
"Haiti","HTI","Unemployment with basic education, female (% of female labor force with basic education)","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.0107002258301","","","","","","","",
"Haiti","HTI","Unemployment with advanced education (% of total labor force with advanced education)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.8024997711182","","","","","","","",
"Haiti","HTI","Unemployment with advanced education, male (% of male labor force with advanced education)","SL.UEM.ADVN.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.5790004730225","","","","","","","",
"Haiti","HTI","Unemployment with advanced education, female (% of female labor force with advanced education)","SL.UEM.ADVN.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.6732006072998","","","","","","","",
"Haiti","HTI","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.8100004196167","16.2600002288818","16.7970008850098","17.1979999542236","16.8050003051758","16.9099998474121","17.2339992523193","17.1189994812012","17.3560009002686","19.7870006561279","22.1350002288818","24.8560009002686","26.9669990539551","29.625","31.9349994659424","33.7680015563965","35.6839981079102","34.0919990539551","34.6080017089844","33.601001739502","31.863000869751","30.4680004119873","30.4899997711182","30.0890007019043","29.6940002441406","29.4860000610352","28.988000869751","29.4740009307861","29.7409992218018",
"Haiti","HTI","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.8899993896484","","","","","","","","","17.8999996185303","","","","","","","","","","","","","15.585000038147","","","","","","","",
"Haiti","HTI","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.66100025177","14.0520000457764","14.4739999771118","14.8070001602173","14.2720003128052","14.4519996643066","14.7390003204346","14.5629997253418","14.6780004501343","16.7569999694824","18.7929992675781","21.1299991607666","22.8020000457764","25.19700050354","27.1350002288818","28.7000007629395","30.3139991760254","28.5930004119873","28.6110000610352","27.5109996795654","25.507999420166","24.0869998931885","24.0149993896484","23.6560001373291","23.2730007171631","23.1229991912842","22.7520008087158","23.3309993743896","23.7210006713867",
"Haiti","HTI","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.2999992370605","","","","","","","","","15.1000003814697","","","","","","","","","","","","","13.3929004669189","","","","","","","",
"Haiti","HTI","Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.4389991760254","18.9519996643066","19.6159992218018","20.0879993438721","19.8549995422363","19.8729991912842","20.2479991912842","20.2099990844727","20.5990009307861","23.4589996337891","26.1790008544922","29.3570003509521","31.9820003509521","34.9360008239746","37.6650009155273","39.8300018310547","42.0830001831055","40.7120018005371","41.7980003356934","41.2309989929199","39.6949996948242","38.2960014343262","38.3250007629395","37.8300018310547","37.4570007324219","37.234001159668","36.6469993591309","37.0060005187988","37.1030006408691",
"Haiti","HTI","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.3999996185303","","","","","","","","","21.1000003814697","","","","","","","","","","","","","19.1947994232178","","","","","","","",
"Haiti","HTI","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2692553","2739290","2783072","2826433","2872796","2923541","2974636","3029549","3087484","3146856","3207157","3292149","3380781","3472631","3567584","3665512","3762498","3862363","3961823","4065683","4162714","4271947","4380820","4492696","4603648","4712689","4821507","4929887","5040560","5151007",
"Haiti","HTI","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.1989814128078","44.4621416498436","44.7411709075439","45.0314937590949","45.329532622574","45.630658164192","45.8925394569285","46.1580255014855","46.4273175180827","46.7031221002804","46.9836369095744","47.064121338372","47.144461590384","47.2246547358473","47.3055715016101","47.3873226987117","47.4464039582214","47.5654929378725","47.5176957678321","47.6297340446857","47.1785955028378","47.43848647935","47.5448660296474","47.7444278446616","47.8533111132736","47.8599585077649","47.8610110905159","47.8501231366966","47.890353452791","47.9265122334332",
"Haiti","HTI","Part time employment, total (% of total employment)","SL.TLF.PART.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.2000007629395","","","","","","","",
"Haiti","HTI","Part time employment, male (% of total male employment)","SL.TLF.PART.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.0699996948242","","","","","","","",
"Haiti","HTI","Part time employment, female (% of total female employment)","SL.TLF.PART.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.6900005340576","","","","","","","",
"Haiti","HTI","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.8137016296387","","","","","","","",
"Haiti","HTI","Labor force with intermediate education, male (% of male working-age population with intermediate education)","SL.TLF.INTM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.5733032226563","","","","","","","",
"Haiti","HTI","Labor force with intermediate education, female (% of female working-age population with intermediate education)","SL.TLF.INTM.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.6475982666016","","","","","","","",
"Haiti","HTI","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.3870010375977","67.1490020751953","66.8720016479492","66.5500030517578","66.1750030517578","65.7480010986328","65.3099975585938","64.822998046875","64.318000793457","63.8390007019043","63.4150009155273","63.5299987792969","63.7060012817383","63.931999206543","64.1910018920898","64.4710006713867","64.7129974365234","64.9800033569336","65.2160034179688","65.4990005493164","65.6480026245117","65.9810028076172","66.2819976806641","66.6050033569336","66.8949966430664","67.1419982910156","67.3949966430664","67.6289978027344","67.8809967041016","68.1169967651367",
"Haiti","HTI","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","","","","","","","","","","","79.3899993896484","","","","","","","","","70.0599975585938","","64.8099975585938","","","68.1999969482422","","","","","66.75","","","","","65.0800018310547","","","","","62.7700004577637","","","47.9099998474121","","63.8300018310547","","47.7000007629395","","","65.620002746582","","63.4338989257813","","","","","","","",
"Haiti","HTI","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.0579986572266","77.4059982299805","76.6999969482422","75.9300003051758","75.0869979858398","74.1740036010742","73.2990036010742","72.3639984130859","71.4029998779297","70.4729995727539","69.6080017089844","69.588996887207","69.6449966430664","69.7570037841797","69.9059982299805","70.0780029296875","70.2269973754883","70.3270034790039","70.6210021972656","70.7519989013672","71.495002746582","71.4690017700195","71.6129989624023","71.6549987792969","71.7880020141602","72.0240020751953","72.2730026245117","72.5329971313477","72.7460021972656","72.9390029907227",
"Haiti","HTI","Labor force participation rate, male (% of male population ages 15+) (national estimate)","SL.TLF.CACT.MA.NE.ZS","","","","","","","","","","","","89.5500030517578","","","","","","","","","83.3000030517578","","80.2600021362305","","","80.0599975585938","","","","","77.4100036621094","","","","","73.5199966430664","","","","","68.9800033569336","","","58.3300018310547","","69.4899978637695","","55.2999992370605","","","70.8300018310547","","73.9965972900391","","","","","","","",
"Haiti","HTI","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.5850267289779","74.3947495697464","75.2412012785553","76.1306460207126","77.0666055802987","78.0448636024906","78.927403919064","79.8435702075322","80.7949227978315","81.7717413062219","82.7649101347486","83.119460893664","83.4589745159916","83.7937361030449","84.1272606963064","84.4601690272593","84.7423402134084","85.2162005211382","85.1120722921868","85.5523514801039","84.0813988442847","85.0438613580769","85.4928573171204","86.2605574297345","86.7066880056182","86.776627511962","86.8291053901063","86.8060107004857","86.9477325766516","87.0974338462098",
"Haiti","HTI","Ratio of female to male labor force participation rate (%) (national estimate)","SL.TLF.CACT.FM.NE.ZS","","","","","","","","","","","","78.5594596054457","","","","","","","","","69.2316879425713","","62.9952654218377","","","71.3464909739476","","","","","73.3755284200599","","","","","77.7747591349603","","","","","82.5166648288136","","","66.192352817304","","84.1416074516647","","73.7793848100408","","","85.6134375575597","","72.7969935091487","","","","","","","",
"Haiti","HTI","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.4389991760254","57.5859985351563","57.7099990844727","57.8059997558594","57.867000579834","57.8889999389648","57.8530006408691","57.7779998779297","57.689998626709","57.6269989013672","57.6110000610352","57.8419990539551","58.125","58.4519996643066","58.810001373291","59.1879997253418","59.5120010375977","59.9300003051758","60.1069984436035","60.5299987792969","60.1139984130859","60.7799987792969","61.2239990234375","61.810001373291","62.2449989318848","62.5","62.7540016174316","62.9630012512207","63.2509994506836","63.5279998779297",
"Haiti","HTI","Labor force participation rate, female (% of female population ages 15+) (national estimate)","SL.TLF.CACT.FE.NE.ZS","","","","","","","","","","","","70.3499984741211","","","","","","","","","57.6699981689453","","50.560001373291","","","57.1199989318848","","","","","56.7999992370605","","","","","57.1800003051758","","","","","56.9199981689453","","","38.6100006103516","","58.4700012207031","","40.7999992370605","","","60.6399993896484","","53.8672981262207","","","","","","","",
"Haiti","HTI","Labor force with basic education (% of total working-age population with basic education)","SL.TLF.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.8395004272461","","","","","","","",
"Haiti","HTI","Labor force with basic education, male (% of male working-age population with basic education)","SL.TLF.BASC.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.8759002685547","","","","","","","",
"Haiti","HTI","Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.4547996520996","","","","","","","",
"Haiti","HTI","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.9182968139648","","","","","","","",
"Haiti","HTI","Labor force with advanced education, male (% of male working-age population with advanced education)","SL.TLF.ADVN.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.1483001708984","","","","","","","",
"Haiti","HTI","Labor force with advanced education, female (% of female working-age population with advanced education)","SL.TLF.ADVN.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.0811996459961","","","","","","","",
"Haiti","HTI","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.838996887207","67.6060028076172","67.3300018310547","67.0039978027344","66.6230010986328","66.1839981079102","65.7360000610352","65.2350006103516","64.7129974365234","64.2210006713867","63.7890014648438","63.9049987792969","64.0869979858398","64.3219985961914","64.5930023193359","64.8850021362305","65.1559982299805","65.4469985961914","65.7170028686523","66.0289993286133","66.2389984130859","66.5930023193359","66.9250030517578","67.2770004272461","67.5979995727539","67.879997253418","68.1669998168945","68.4359970092773","68.7239990234375","68.9970016479492",
