"Data Source","World Development Indicators",

"Last Updated Date","2020-02-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"St. Kitts and Nevis","KNA","Binding coverage, manufactured products (%)","TM.TAX.MANF.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.97","","","100","100","100","100","100","","","100","100","100","100","99.97","99.97","99.97","99.97","99.97","99.97","99.97","99.97","99.97","",
"St. Kitts and Nevis","KNA","Import volume index (2000 = 100)","TM.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","97.71905386","104.2264333","98.02432964","83.24387824","90.20836034","101.9371954","103.2257647","115.1498318","110.368312","97.78729198","81.56980374","75.12865006","83.87347506","90.44929561","108.8415952","124.7535799","113.6331285","117.7390595","",
"St. Kitts and Nevis","KNA","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","105.122169811321","144.193457943925","95.6818604651163","116.884090909091","134.162608695652","132.412017167382","124.403225806452","107.51186440678","109.58904109589","119.8738170347","98.159509202454","96.8165374677002","95.8820861678005","103.322784810127","95.193199381762","134.875690607735","129.587039390089","80.9048074036089","80.9160645524987","81.5762397720563","100.789938846421","86.5370537264108","70.9122583467818","78.2728664000731","72.0052473908549","62.1571435483497","66.5725062945948","71.7434044348073","68.9087391381957","65.968089924776","63.5186844173739","62.1203859155502","49.9720389081347","54.9753306102641","50.8202960451646","48.4874205034918","51.2058665486614","50.1814664627711","46.183091908708","44.5158182505524","52.8233402443851","46.272565737921","48.2577971492541","49.3477518122579","42.1350614516883","42.2341939907307","44.1247600258302","42.2687719878064","47.3928604840458","43.5425142822875","39.7279362326184","35.7073303290383","33.9823795069223","36.3192922258632","35.4584136451249","38.1300852149632","39.5400720782564","36.0100306492059","37.988875942577","",
"St. Kitts and Nevis","KNA","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.90378782990256","2.58695027306697","3.05873911976286","3.10856967417584","3.41038272072754","3.61827900951473","3.30855997990356","3.12157124843736","3.12734967481645","4.13821545831212","3.92676347083514","4.36558673392155","3.46500236813661","3.432473720407","3.00427579151826","3.57094333662009","3.87058602248262","4.31875768113714","4.24059349587507","10.0976774513391","9.87711156471474","9.18148380149647","10.3313445132283","9.93443017968863","",
"St. Kitts and Nevis","KNA","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5000000","5000000","6000000","6000000","7000000","9000000","8000000","8000000","8000000","10000000","11000000","14000000","12000000","15000000","11000000","13000000","14000000","15000000","16000000","51000000","52000000","51000000","56000000","59000000","",
"St. Kitts and Nevis","KNA","International tourism, expenditures for travel items (current US$)","ST.INT.TVLX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5000000","5000000","6000000","6000000","7000000","9000000","8000000","8000000","8000000","10000000","11000000","14000000","12000000","15000000","11000000","13000000","14000000","15000000","16000000","39000000","37000000","37000000","42000000","44000000","",
"St. Kitts and Nevis","KNA","International tourism, receipts for travel items (current US$)","ST.INT.TVLR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63000000","68000000","72000000","71000000","69000000","58000000","62000000","57000000","75000000","103000000","121000000","132000000","125000000","110000000","83000000","90000000","94000000","95000000","101000000","343000000","317000000","332000000","355000000","367000000","",
"St. Kitts and Nevis","KNA","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12000000","15000000","14000000","14000000","15000000","",
"St. Kitts and Nevis","KNA","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","International tourism, receipts (% of total exports)","ST.INT.RCPT.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.1612338656751","53.2838030008414","51.3402878647827","48.9717716183422","47.2542802790106","38.669531076376","40.5465304135309","37.1806316015703","45.4048090980026","53.1065929429014","53.3843745690605","56.0013394690751","53.643351789396","46.8708411745264","47.4894615618783","43.2421338283289","38.7542687376561","36.9295897145474","34.327678753551","58.5999364799241","59.7631017976626","65.9773887789749","69.8831897726028","60.6386941858798","",
