"Data Source","World Development Indicators",

"Last Updated Date","2020-02-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Macao SAR, China","MAC","Presence of peace keepers (number of troops, police, and military observers in mandate)","VC.PKP.TOTL.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Macao SAR, China","MAC","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.4","1.9","3.5","4","2.1","4.3","7.5","5.9","8.8","2.3","1.8","0.4","1.7","0.8","0.8","2","1.2","0.8","1.1","0.4","0.7","0.7","0.2","0","0.2","0.2","0.3","","",
"Macao SAR, China","MAC","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.9","","","","","","","","","","","","","","0.4","0.8","0.8","0.4","1.1","0","","0","0.3","0","","",
"Macao SAR, China","MAC","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.1","","","","","","","","","","","","","","1.1","1.5","0","1.1","0.3","0.3","","0.3","0","0.6","","",
"Macao SAR, China","MAC","Internally displaced persons, total displaced by conflict and violence (number of people)","VC.IDP.TOCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Macao SAR, China","MAC","Internally displaced persons, new displacement associated with disasters (number of cases)","VC.IDP.NWDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5700","",
"Macao SAR, China","MAC","Internally displaced persons, new displacement associated with conflict and violence (number of cases)","VC.IDP.NWCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Macao SAR, China","MAC","Battle-related deaths (number of people)","VC.BTL.DETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Macao SAR, China","MAC","Travel services (% of commercial service exports)","TX.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.1850539950508","87.2125391626214","88.754318416494","88.912826448638","89.593848933545","90.5604716464869","91.0891797551252","93.4937160987463","93.9332573289396","94.940546650731","95.2614061723978","95.3573020740745","94.5034464542209","92.804127222341","92.433295788991","92.5138254034619","92.6703094905344","",
"Macao SAR, China","MAC","Transport services (% of commercial service exports)","TX.VAL.TRAN.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.51774086193507","4.73806624481512","4.76011607754796","5.12369303159649","5.01266882732847","3.94138194265427","3.03245566785569","2.20777996334095","2.10986850386601","1.85463898397343","1.5454460586992","1.37177419016084","1.38573874194943","1.7357934697465","1.78468217888999","1.54588107174989","1.59346952892543","",
"Macao SAR, China","MAC","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.78177750320918","3.47176650169783","7.03623833011352","","","","","0.163745252402179","","","","","",
"Macao SAR, China","MAC","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44444052","38773741","21512694","","","","","38253","","","","","",
"Macao SAR, China","MAC","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4519275278.9409","5077090847.8575","7274370036.46765","7786942110.91726","9125657658.15114","12003448212.1218","14710736927.936","15914066394.1883","23715055399.9255","32225654661.4425","37804652725.0272","45232737280.4462","45223638939.1883","33383702108.383","32988529983.2218","38840188419.8893","43550265918.2254","",
"Macao SAR, China","MAC","Computer, communications and other services (% of commercial service exports)","TX.VAL.OTHR.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.02943328724056","5.828004415997","4.83065784881836","3.97211193487028","3.55606046751663","3.50583229480232","3.53923641926789","2.76397620300125","2.13642194831527","1.92502531988697","1.59234838174886","1.35346456968583","1.5065337749526","1.66640912691868","1.64276398277015","2.28182590289043","2.3069906835877","",
"Macao SAR, China","MAC","Export value index (2000 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","24.05938509","26.93607643","28.3467796","29.97456928","35.85803733","35.57843765","41.07095269","55.05428688","59.10154846","64.52374263","66.78991899","66.32211842","70.13649","70.55522354","73.51715964","78.653013","78.61362741","84.60023631","84.32453722","86.64828673","100","90.58684521","92.79243797","101.6541946","110.7522647","97.51870815","100.7199685","100.1445451","78.66916109","37.84962584","34.25734541","34.24363923","40.22489169","44.83229618","48.89066609","52.7382434","49.49204411","55.36916109","59.48723907","",
"Macao SAR, China","MAC","Merchandise exports to low- and middle-income economies within region (% of total merchandise exports)","TX.VAL.MRCH.WR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
