"Data Source","World Development Indicators",

"Last Updated Date","2020-02-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Malta","MLT","Child employment in services (% of economically active children ages 7-14)","SL.SRV.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Malta","MLT","Child employment in services, male (% of male economically active children ages 7-14)","SL.SRV.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Malta","MLT","Child employment in services, female (% of female economically active children ages 7-14)","SL.SRV.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Malta","MLT","Children in employment, self-employed (% of children in employment, ages 7-14)","SL.SLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Malta","MLT","Children in employment, self-employed, male (% of male children in employment, ages 7-14)","SL.SLF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Malta","MLT","Children in employment, self-employed, female (% of female children in employment, ages 7-14)","SL.SLF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Malta","MLT","Child employment in manufacturing (% of economically active children ages 7-14)","SL.MNF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Malta","MLT","Child employment in manufacturing, male (% of male economically active children ages 7-14)","SL.MNF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Malta","MLT","Child employment in manufacturing, female (% of female economically active children ages 7-14)","SL.MNF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Malta","MLT","Informal employment (% of total non-agricultural employment)","SL.ISV.IFRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Malta","MLT","Informal employment, male (% of total non-agricultural employment)","SL.ISV.IFRM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Malta","MLT","Informal employment, female (% of total non-agricultural employment)","SL.ISV.IFRM.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Malta","MLT","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.0779991149902","33.548999786377","33.560001373291","33.515998840332","33.3479995727539","33.0029983520508","32.7210006713867","32.568000793457","32.2459983825684","32.7449989318848","30.9249992370605","31.5249996185303","29.8819999694824","29.4489994049072","29.8490009307861","28.3360004425049","26.3150005340576","25.5639991760254","25.0230007171631","25.5170001983643","24.5230007171631","22.261999130249","21.8290004730225","20.9370002746582","19.8050003051758","19.7770004272461","19.818000793457","19.5510005950928","19.3129997253418",
"Malta","MLT","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.7360000610352","36.226001739502","36.4189987182617","36.4889984130859","36.359001159668","36.0519981384277","35.8979988098145","35.8050003051758","35.5629997253418","36.2890014648438","34.326000213623","35.7700004577637","34.7039985656738","34.476001739502","35.5550003051758","34.1650009155273","32.4900016784668","32.8899993896484","31.6809997558594","31.92799949646","30.8299999237061","28.798999786377","27.9419994354248","27.548999786377","26.6599998474121","26.3850002288818","26.5340003967285","26.2849998474121","26.0419998168945",
"Malta","MLT","Employment in industry, female (% of female employment) (modeled ILO estimate)","SL.IND.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.1079998016357","26.4580001831055","26.0979995727539","25.9979991912842","25.7089996337891","25.3150005340576","24.9340000152588","24.7369995117188","24.3649997711182","24.6280002593994","22.6709995269775","21.9340000152588","18.57200050354","17.2689990997314","16.8430004119873","15.1850004196167","13.3430004119873","10.9890003204346","12.0129995346069","13.2159996032715","12.7170000076294","10.706000328064","11.6099996566772","10.246000289917","8.8730001449585","9.27600002288818","9.52799987792969","9.27400016784668","9.04899978637695",
"Malta","MLT","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46140.765625","48091.859375","49633.33984375","51888.66796875","54702.96484375","55731.4140625","57776.32421875","59697.4609375","61659.09765625","64376.83984375","64162.5234375","65728.453125","67610.4296875","69171.0390625","70609.375","70673.3046875","71370.375","72500.90625","70533.3125","71375.4609375","70190.8515625","70510.34375","71666.40625","75200.984375","80845.1015625","83419.578125","88052.6171875","92795.4375","96758.984375",
"Malta","MLT","Contributing family workers, total (% of total employment) (modeled ILO estimate)","SL.FAM.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.347000002861023","0.333999991416931","0.321000009775162","0.305999994277954","0.289000004529953","0.280000001192093","0.266000002622604","0.252999991178513","0.24099999666214","0.224999994039536","0.224999994039536","0.217999994754791","0.212999999523163","0.158999994397163","0.115000002086163","0.0850000008940697","0.0610000006854534","0.0439999997615814","0.0350000001490116","0.0350000001490116","0.0370000004768372","0.0390000008046627","0.0390000008046627","0.0379999987781048","0.0359999984502792","0.0359999984502792","0.0480000004172325","0.0450000017881393","0.0419999994337559",
"Malta","MLT","Contributing family workers, male (% of male employment) (modeled ILO estimate)","SL.FAM.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.303999990224838","0.291999995708466","0.28099998831749","0.266999989748001","0.252999991178513","0.244000002741814","0.23199999332428","0.221000000834465","0.209999993443489","0.194999992847443","0.195999994874001","0.188999995589256","0.185000002384186","0.138999998569489","0.100000001490116","0.0740000009536743","0.0529999993741512","0.0379999987781048","0.0299999993294477","0.0299999993294477","0.0320000015199184","0.0329999998211861","0.0329999998211861","0.0320000015199184","0.0299999993294477","0.0299999993294477","0.0410000011324883","0.0379999987781048","0.0350000001490116",
