"Data Source","World Development Indicators",

"Last Updated Date","2020-02-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Montenegro","MNE","Binding coverage, manufactured products (%)","TM.TAX.MANF.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Montenegro","MNE","Import volume index (2000 = 100)","TM.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Montenegro","MNE","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.1001221867886","94.9001590478992","95.6513708491389","64.9383593558203","63.2732177313293","69.8955550157882","68.6200623169679","63.8851419873772","61.1822909828504","58.9945990052844","60.514914223112","62.6265319808304","63.2611657834973","",
"Montenegro","MNE","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.82965161439174","1.88262655916003","2.79848605161442","2.81080596306065","2.41065582664513","2.4756551911563","2.95342338192527","2.87047071047185","2.76425970006781","3.29333170932338","2.89243172552071","1.99151112504161","",
"Montenegro","MNE","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58000000","80000000","76000000","72000000","70000000","67000000","81000000","79000000","68000000","91000000","91000000","73000000","",
"Montenegro","MNE","International tourism, expenditures for travel items (current US$)","ST.INT.TVLX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37000000","43000000","49000000","46000000","39000000","39000000","48000000","47000000","44000000","66000000","67000000","68000000","",
"Montenegro","MNE","International tourism, receipts for travel items (current US$)","ST.INT.TVLR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","630000000","813000000","745000000","713000000","875000000","809000000","880000000","908000000","903000000","933000000","1067000000","1171000000","",
"Montenegro","MNE","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21000000","37000000","27000000","26000000","31000000","28000000","33000000","32000000","24000000","25000000","24000000","5000000","",
"Montenegro","MNE","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30000000","46000000","47000000","52000000","51000000","51000000","49000000","51000000","44000000","45000000","43000000","53000000","",
"Montenegro","MNE","International tourism, receipts (% of total exports)","ST.INT.RCPT.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.7351421120586","47.2614456900562","55.1053143560357","51.0939234325938","48.0688758592728","50.570404802138","50.4244888505443","52.0514145685459","55.2680995492177","54.811079828975","54.8056583832202","52.1678725110468","",
"Montenegro","MNE","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","660000000","859000000","792000000","765000000","926000000","860000000","929000000","959000000","947000000","978000000","1110000000","1224000000","",
"Montenegro","MNE","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Montenegro","MNE","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","136000","142000","188000","272000","378000","984000","1031000","1044000","1088000","1201000","1264000","1324000","1350000","1560000","1662000","1877000","2077000","",
"Montenegro","MNE","Unmet need for contraception (% of married women ages 15-49)","SP.UWT.TFRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.8","","","","","","",
