"Data Source","World Development Indicators",

"Last Updated Date","2020-02-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Senegal","SEN","Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population)","SH.STA.AIRP.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","172","","","",
"Senegal","SEN","Mortality rate attributed to household and ambient air pollution, age-standardized, female (per 100,000 female population)","SH.STA.AIRP.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","152","","","",
"Senegal","SEN","Number of surgical procedures (per 100,000 population)","SH.SGR.PROC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Senegal","SEN","Risk of impoverishing expenditure for surgical care (% of people at risk)","SH.SGR.IRSK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.8","47.9","43.7","44","42.8","43.4","42.1","42.3","44.8","42.8","43.6","43.2","41.4","41","41.2","","",
"Senegal","SEN","Risk of catastrophic expenditure for surgical care (% of people at risk)","SH.SGR.CRSK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.8","60.6","43.4","43","49.4","47.7","45.7","46.9","49.5","48.1","50.5","47.5","46.1","45.9","47.5","","",
"Senegal","SEN","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.9","","","","","19.4","","","","","18","17.8","17.6","17.2","17.1","16.8","16.6","","","",
"Senegal","SEN","Smoking prevalence, females (% of adults)","SH.PRV.SMOK.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.7","","","","","1.1","","","","","0.7","0.6","0.6","0.5","0.5","0.4","0.4","","","",
"Senegal","SEN","Smoking prevalence, total (ages 15+)","SH.PRV.SMOK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.9","","","","","9.9","","","","","9","8.8","8.7","8.5","8.4","8.3","8.2","","","",
"Senegal","SEN","Prevalence of anemia among pregnant women (%)","SH.PRG.ANEM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.6","60.9","61.1","61.4","61.6","61.8","61.9","62.1","62.2","62.3","62.3","62.4","62.4","62.4","62.4","62.4","62.3","62.2","62","61.7","61.4","61","60.5","60","59.4","58.7","58.1","","","",
"Senegal","SEN","Lifetime risk of maternal death (%)","SH.MMR.RISK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.04230373192923","2.96038173500285","2.89003118463659","2.834450485521","2.78402148460848","2.73397257842634","2.69710140548107","2.64548911585099","2.58468543875522","2.48096420440481","2.34280515490455","2.20922184680826","2.0767840886355","1.96100135223042","1.84935316334707","1.73622302080676","1.62766583906098","1.5283111839002","","",
"Senegal","SEN","Lifetime risk of maternal death (1 in: rate varies by country)","SH.MMR.RISK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","34","35","35","36","37","37","38","39","40","43","45","48","51","54","58","61","65","","",
"Senegal","SEN","Number of maternal deaths","SH.MMR.DTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2100","2100","2200","2200","2200","2200","2300","2300","2300","2200","2200","2100","2000","2000","1900","1800","1800","1700","","",
"Senegal","SEN","Children with fever receiving antimalarial drugs (% of children under age 5 with fever)","SH.MLR.TRET.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","","","","","26.8","20","","","9.1","","8.2","","6.2","6.7","3.4","1.7","4.7","","",
"Senegal","SEN","Use of insecticide-treated bed nets (% of under-5 population)","SH.MLR.NETS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","7.2","16.4","","","29.2","","34.5","","45.8","43.2","55.4","66.6","60.7","","",
"Senegal","SEN","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","184.75","","","","","","","","","","61.37","53.33","60.94","79.75","46.27","78.55","54.28","64.62","","",
"Senegal","SEN","Specialist surgical workforce (per 100,000 population)","SH.MED.SAOP.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.05","","","","","","","","",
"Senegal","SEN","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.044","","","","","0.051","","","","","0.063","","","","","0.061","","","","","","0.079","0.077","","","","","","","","0.055","","0.068","","0.096","0.075","0.093","0.093","0.095","","","","","","0.0542","","","","0.0607","","0.059","","","0.3103","","0.2018","0.0692","","","",
"Senegal","SEN","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3","","","","0.4305","","0.42","","","1.3851","","0.7755","0.3129","","","",
"Senegal","SEN","Community health workers (per 1,000 people)","SH.MED.CMHW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","",
"Senegal","SEN","Hospital beds (per 1,000 people)","SH.MED.BEDS.ZS","1.31314718723297","","","","","","","","","","1.29849994182587","","","","","1.29009997844696","","","","","","","","","","","","","","0.523999989032745","0.7296000123","","","","0.2475000024","","0.4499999881","","0.400000006","","","","","","","","","0.1","0.3","","","","","","","","","","","",
"Senegal","SEN","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","71","66","60","48","51","54","57","58","59","80","70","65","62","60","48","48","54","60","57","74","80","84","77","79","81","84","83","84","80","80","93","90","82","",
"Senegal","SEN","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","54","57","59","47","51","51","59","58","57","80","70","59","59","60","52","52","60","73","87","84","89","94","88","86","89","92","91","92","89","89","93","93","81","",
"Senegal","SEN","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54","84","89","94","88","86","89","92","91","92","89","89","93","91","82","",
"Senegal","SEN","Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV)","SH.HIV.PMTC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","1","6","10","16","27","22","26","32","47","41","53","57","55","65","",
"Senegal","SEN","Incidence of HIV (per 1,000 uninfected population ages 15-49)","SH.HIV.INCD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4","0.5","0.6","0.6","0.7","0.8","0.9","0.9","0.9","0.9","0.9","0.9","0.8","0.7","0.6","0.5","0.4","0.4","0.3","0.2","0.2","0.2","0.1","0.1","0.1","0.1","0.1","0.1","0.1","",
"Senegal","SEN","Adults (ages 15+) and children (ages 0-14) newly infected with HIV","SH.HIV.INCD.TL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1600","1900","2400","2800","3300","3700","4200","4700","5000","5200","5300","5200","5000","4700","4400","4000","3600","3200","2600","2300","2100","1900","1700","1600","1500","1400","1400","1300","1300","",
"Senegal","SEN","Children (ages 0-14) newly infected with HIV","SH.HIV.INCD.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","500","500","500","550","640","740","840","920","1000","1100","1100","1200","1200","1200","1200","1100","1100","940","870","880","840","770","670","670","560","510","500","500","",
"Senegal","SEN","Adults (ages 15+) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1300","1600","2000","2400","2700","3100","3500","3900","4000","4200","4200","4100","3800","3500","3200","2800","2400","2200","1700","1400","1200","1100","980","920","880","850","850","860","880","",
"Senegal","SEN","Antiretroviral therapy coverage (% of people living with HIV)","SH.HIV.ARTC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","1","17","21","24","27","29","27","31","37","43","50","55","63","",
"Senegal","SEN","Prevalence of HIV, male (% ages 15-24)","SH.HIV.1524.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","",
