"Data Source","World Development Indicators",

"Last Updated Date","2020-02-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Serbia","SRB","Binding coverage, manufactured products (%)","TM.TAX.MANF.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Serbia","SRB","Import volume index (2000 = 100)","TM.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","133.748719","176.8012384","205.2063382","274.522901","242.7360011","286.8343398","390.1313669","377.5684208","276.0610252","267.5416366","278.0553825","268.9631789","297.856809","301.9381429","296.9132475","328.174259","360.2404796","397.1841287","",
"Serbia","SRB","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.3409812939235","64.8328880118867","67.6377556877736","54.0089388298783","63.4393521244954","64.235073607247","69.6248444990823","72.6470761430129","75.3173352936518","78.8623336329055","83.1471180110291","88.2652434485304","89.152997642243","",
"Serbia","SRB","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.65472303264088","5.37939497157272","6.0465777937495","5.8476535630708","5.50671868518062","5.44188601341607","5.45860922443749","5.66219199284146","6.06461779831884","6.23075355968002","6.12400241581043","6.13551888464637","",
"Serbia","SRB","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105000000","144000000","208000000","260000000","322000000","1203000000","1448000000","1105000000","1103000000","1263000000","1188000000","1290000000","1360000000","1254000000","1351000000","1549000000","1837000000","",
"Serbia","SRB","International tourism, expenditures for travel items (current US$)","ST.INT.TVLX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1042000000","1251000000","960000000","954000000","1105000000","1031000000","1117000000","1179000000","1102000000","1202000000","1381000000","1643000000","",
"Serbia","SRB","International tourism, receipts for travel items (current US$)","ST.INT.TVLR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","866000000","942000000","866000000","799000000","990000000","921000000","1053000000","1142000000","1048000000","1151000000","1345000000","1547000000","",
"Serbia","SRB","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","161000000","197000000","145000000","149000000","158000000","157000000","173000000","181000000","152000000","149000000","168000000","194000000","",
"Serbia","SRB","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","152000000","172000000","120000000","151000000","159000000","159000000","168000000","210000000","274000000","310000000","361000000","374000000","",
"Serbia","SRB","International tourism, receipts (% of total exports)","ST.INT.RCPT.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.13413425683828","7.88813523191164","8.76805448142565","7.54306858395628","7.40483618553558","7.33482621244194","6.59180337988396","7.04880150076778","7.57904132934883","7.59533280256604","7.80465757602011","7.6676788520886","",
"Serbia","SRB","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77000000","159000000","220000000","308000000","416000000","1018000000","1114000000","986000000","950000000","1149000000","1080000000","1221000000","1352000000","1322000000","1461000000","1706000000","1921000000","",
"Serbia","SRB","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Serbia","SRB","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","312000","339000","392000","453000","469000","696000","646000","645000","683000","764000","810000","922000","1029000","1132000","1281000","1497000","1711000","",
"Serbia","SRB","Unmet need for contraception (% of married women ages 15-49)","SP.UWT.TFRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.6","","","","14.9","","","","","",
