"Data Source","World Development Indicators",

"Last Updated Date","2020-02-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Uganda","UGA","Binding coverage, manufactured products (%)","TM.TAX.MANF.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.31","6.31","5.78","5.78","5.78","5.78","5.78","5.78","3.96","3.96","3.96","3.96","3.72","3.72","3.72","3.72","3.72","","3.73","",
"Uganda","UGA","Import volume index (2000 = 100)","TM.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","35.60080461","46.34821733","24.08289724","22.20142089","19.03962241","32.66592935","37.23560254","21.19790634","16.14272337","12.03696608","31.92042369","38.35414176","54.2128643","64.84881934","69.85975275","85.68564659","92.13465594","90.05017349","100","107.0620983","71.38192298","86.49488476","98.49122475","105.3530393","120.8092578","152.9606732","175.3484436","183.0132416","188.697321","199.0939828","216.531045","213.4688991","225.413994","234.7903348","214.1952841","238.5958808","269.7406311","",
"Uganda","UGA","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","52.0084252261182","52.0922856315317","51.000798397602","56.1854570932464","58.2286995515695","41.4748338081671","41.3709531013616","39.063829787234","36.7117408906883","34.9002036659878","36.0293431143715","35.9715499357898","29.8338028169014","26.6663376110563","25.1411493003668","19.6647202863063","21.9016875740612","28.2311698717949","24.873351776668","29.5461717371232","51.2610375941058","43.9691916548269","33.3409873708381","33.4325249218866","20.5495697441533","20.286013824234","18.9384664702689","18.6138900719279","17.7909380828033","10.3288536705828","10.2221010113051","11.9215021210394","22.6425036409279","22.1708900619697","32.1769798307831","26.3385630063851","29.4147555842458","29.8436836348972","29.1124314586705","31.0240956038038","31.3082951641068","35.0141023106598","24.6011872766114","30.094546322439","29.9734415188912","31.8066638594626","35.3931646222402","39.2912489841206","43.8934497600448","32.0052359286787","31.1247669527856","38.6101816428386","36.3454761461269","33.4396352430369","30.5438835843255","28.7610248031449","30.2937834628488","32.6870151534341","35.183879404438","",
"Uganda","UGA","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.37085772597884","8.12518808305748","6.60270418716621","5.01467452123055","","","","","","8.23220929522677","7.85759544976465","6.56383893292967","5.59026037495647","5.94321198310881","6.7135988142961","7.51009856478585","7.23901089487414","8.28587740099116","4.71509616111581","4.39897851079299","3.790716394607","4.72138552745262","4.8887848556166","3.86635083367024","",
"Uganda","UGA","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80000000","135000000","113000000","95000000","","","","","","158000000","185000000","196000000","220000000","315000000","351000000","464000000","540000000","642000000","349000000","342000000","278000000","309000000","353000000","334000000","",
"Uganda","UGA","International tourism, expenditures for travel items (current US$)","ST.INT.TVLX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80000000","135000000","113000000","95000000","","","","","","108000000","124000000","123000000","132000000","156000000","192000000","320000000","405000000","484000000","208000000","189000000","186000000","208000000","214000000","187000000","",
"Uganda","UGA","International tourism, receipts for travel items (current US$)","ST.INT.TVLR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78000000","117000000","135000000","144000000","151000000","165000000","165000000","171000000","184000000","267000000","380000000","346000000","398000000","498000000","667000000","784000000","960000000","1135000000","939000000","965000000","1037000000","1102000000","941000000","1027000000","",
"Uganda","UGA","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000000","2000000","44000000","50000000","61000000","73000000","88000000","159000000","159000000","144000000","135000000","158000000","141000000","153000000","92000000","101000000","139000000","147000000","",
"Uganda","UGA","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22000000","23000000","1000000","1000000","2000000","1000000","4000000","38000000","16000000","18000000","17000000","22000000","21000000","19000000","12000000","16000000","16000000","17000000","",
"Uganda","UGA","International tourism, receipts (% of total exports)","ST.INT.RCPT.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.7416829745597","14.9228983584812","17.8279013258676","20.9765761566251","22.2222222222222","24.8831247172372","27.3328490941155","27.6017539931316","22.1820763076208","23.6689222286873","24.7726537553746","19.9931775421424","16.481982172347","17.6332055329741","20.3652899070812","23.1252031963124","22.7289681166052","23.4408072053563","19.4656050055347","20.0599559652879","22.1839275520262","23.115991440051","18.8030607213027","18.619376427533","",
