"Data Source","World Development Indicators",

"Last Updated Date","2020-02-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Ukraine","UKR","Child employment in services (% of economically active children ages 7-14)","SL.SRV.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ukraine","UKR","Child employment in services, male (% of male economically active children ages 7-14)","SL.SRV.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ukraine","UKR","Child employment in services, female (% of female economically active children ages 7-14)","SL.SRV.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ukraine","UKR","Children in employment, self-employed (% of children in employment, ages 7-14)","SL.SLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ukraine","UKR","Children in employment, self-employed, male (% of male children in employment, ages 7-14)","SL.SLF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ukraine","UKR","Children in employment, self-employed, female (% of female children in employment, ages 7-14)","SL.SLF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ukraine","UKR","Child employment in manufacturing (% of economically active children ages 7-14)","SL.MNF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ukraine","UKR","Child employment in manufacturing, male (% of male economically active children ages 7-14)","SL.MNF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ukraine","UKR","Child employment in manufacturing, female (% of female economically active children ages 7-14)","SL.MNF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ukraine","UKR","Informal employment (% of total non-agricultural employment)","SL.ISV.IFRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ukraine","UKR","Informal employment, male (% of total non-agricultural employment)","SL.ISV.IFRM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ukraine","UKR","Informal employment, female (% of total non-agricultural employment)","SL.ISV.IFRM.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ukraine","UKR","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.6359996795654","27.4069995880127","27.1790008544922","27.1650009155273","27.0389995574951","26.8449993133545","26.7159996032715","26.6270008087158","26.5349998474121","26.4540004730225","26.3880004882813","26.2719993591309","26.1900005340576","26.1669998168945","26.048999786377","25.9729995727539","25.923999786377","25.7649993896484","25.6319999694824","25.6770000457764","25.6550006866455","25.8810005187988","24.8099994659424","26.1469993591309","24.6900005340576","24.25","24.2980003356934","24.2560005187988","24.2169990539551",
"Ukraine","UKR","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.7019996643066","37.3699989318848","37.0309982299805","36.9749984741211","36.8489990234375","36.4900016784668","36.3190002441406","36.1839981079102","36.0190010070801","35.9570007324219","35.9830017089844","35.9150009155273","35.8959999084473","35.8959999084473","35.6160011291504","35.5750007629395","35.6129989624023","35.4249992370605","35.4150009155273","35.4879989624023","35.4109992980957","35.7770004272461","34.6730003356934","36.9830017089844","34.6889991760254","33.7290000915527","34.1209983825684","34.0260009765625","34.0069999694824",
"Ukraine","UKR","Employment in industry, female (% of female employment) (modeled ILO estimate)","SL.IND.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.4459991455078","17.2849998474121","17.1180000305176","17.1270008087158","17.076000213623","16.9120006561279","16.7959995269775","16.6849994659424","16.5629997253418","16.4680004119873","16.3549995422363","16.2339992523193","16.0960006713867","15.9610004425049","15.7589998245239","15.6350002288818","15.5450000762939","15.4209995269775","15.456000328064","15.3929996490479","15.2259998321533","15.1070003509521","14.1890001296997","14.5590000152588","13.8719997406006","14.08899974823","13.78600025177","13.6709995269775","13.5930004119873",
"Ukraine","UKR","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20836.509765625","18845.146484375","16192.9970703125","12443.685546875","11325.1953125","10547.404296875","10544.1591796875","10817.9306640625","11083.3359375","11585.640625","12811.3046875","13420.6572265625","14596.275390625","16394.66796875","16668.341796875","17902.685546875","19311.318359375","19838.001953125","17407.671875","18056.763671875","19046.73046875","19262.185546875","19093.68359375","18816.015625","17000.912109375","17630.896484375","18294.404296875","19095.33984375","19965.7578125",
"Ukraine","UKR","Contributing family workers, total (% of total employment) (modeled ILO estimate)","SL.FAM.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.349000006914139","0.377999991178513","0.416999995708466","0.488000005483627","0.519999980926514","0.544000029563904","0.549000024795532","0.551999986171722","0.551999986171722","0.53600001335144","0.512000024318695","0.495999991893768","0.46900001168251","0.435000002384186","0.425000011920929","0.402999997138977","0.379000008106232","0.370000004768372","0.407999992370605","0.430999994277954","0.386000007390976","0.34400001168251","0.337000012397766","0.289000004529953","0.24600000679493","0.248999997973442","0.254999995231628","0.247999995946884","0.24099999666214",
"Ukraine","UKR","Contributing family workers, male (% of male employment) (modeled ILO estimate)","SL.FAM.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.435999989509583","0.47299998998642","0.523999989032745","0.615000009536743","0.663999974727631","0.697000026702881","0.708000004291534","0.712999999523163","0.712000012397766","0.694000005722046","0.662999987602234","0.639999985694885","0.606000006198883","0.560999989509583","0.541999995708466","0.513999998569489","0.483999997377396","0.469999998807907","0.51800000667572","0.503000020980835","0.398999989032745","0.377000004053116","0.416999995708466","0.27700001001358","0.224999994039536","0.257999986410141","0.252000004053116","0.245000004768372","0.237000003457069",
"Ukraine","UKR","Contributing family workers, female (% of female employment) (modeled ILO estimate)","SL.FAM.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.261000007390976","0.280000001192093","0.30799999833107","0.358000010251999","0.372999995946884","0.384999990463257","0.384999990463257","0.384999990463257","0.382999986410141","0.370000004768372","0.354000002145767","0.345999985933304","0.326999992132187","0.303999990224838","0.29899999499321","0.282000005245209","0.266999989748001","0.261999994516373","0.293000012636185","0.356000006198883","0.372000008821487","0.307000011205673","0.252000004053116","0.303000003099442","0.268999993801117","0.238999992609024","0.25900000333786","0.252000004053116","0.24600000679493",
"Ukraine","UKR","Children in employment, unpaid family workers (% of children in employment, ages 7-14)","SL.FAM.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.34","","","","","","","84.61","","","","","","","",
"Ukraine","UKR","Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)","SL.FAM.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.66","","","","","","","77.56","","","","","","","",
"Ukraine","UKR","Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)","SL.FAM.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.99","","","","","","","91.79","","","","","","","",
"Ukraine","UKR","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.8079986572266","82.6839981079102","81.8239974975586","82.1880035400391","81.9369964599609","81.8010025024414","81.5940017700195","81.6110000610352","81.7300033569336","81.5820007324219","81.4560012817383","81.5090026855469","81.5739974975586","81.5839996337891","81.7310028076172","81.8259963989258","81.8759994506836","81.7799987792969","81.5179977416992","81.0910034179688","80.7320022583008","81.2300033569336","80.8769989013672","84.1330032348633","84.068000793457","84.3629989624023","84.2880020141602","84.3030014038086","84.318000793457",
"Ukraine","UKR","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.3160018920898","83.1660003662109","82.2949981689453","82.5559997558594","82.2649993896484","82.1009979248047","81.8960037231445","81.9150009155273","82.0390014648438","81.9280014038086","81.8529968261719","81.9400024414063","82.0500030517578","82.1149978637695","82.2799987792969","82.4079971313477","82.4980010986328","82.431999206543","82.1510009765625","81.7149963378906","81.4879989624023","81.9209976196289","81.3720016479492","82.4919967651367","82.1500015258789","82.3219985961914","82.2900009155273","82.3430023193359","82.3840026855469",
"Ukraine","UKR","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.2939987182617","82.1940002441406","81.3430023193359","81.8119964599609","81.6029968261719","81.4919967651367","81.2829971313477","81.2949981689453","81.4049987792969","81.2190017700195","81.0419998168945","81.0589981079102","81.0800018310547","81.0260009765625","81.1399993896484","81.1999969482422","81.2089996337891","81.0820007324219","80.8610000610352","80.4369964599609","79.9240036010742","80.4769973754883","80.3440017700195","85.8889999389648","86.1419982910156","86.5510025024414","86.4260025024414","86.427001953125","86.4179992675781",
"Ukraine","UKR","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","SL.EMP.VULN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.185000449419","16.3100001513958","17.1800004839898","16.8170004785061","17.0530009269714","17.1839994192123","17.382000207901","17.3619994521141","17.2399997115135","17.3809993267059","17.5050000548363","17.4579998850823","17.385999828577","17.3750005364418","17.2379997372627","17.1359997987747","17.0839999318123","17.1880007982254","17.4709997177124","17.8799993991852","18.1980002820492","17.7259999811649","18.1049996614457","14.6130003631115","14.7020003348589","14.4729999750852","14.8369997739792","14.8170002400875","14.798999607563",
"Ukraine","UKR","Vulnerable employment, male (% of male employment) (modeled ILO estimate)","SL.EMP.VULN.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.3450003862381","15.4939998984337","16.3760002255439","16.1080000400543","16.3729996085167","16.5320000648499","16.7269991040229","16.7060000300408","16.5810004472733","16.6880004405975","16.7630003690719","16.6850000619888","16.5719996094704","16.5120002031326","16.3680002093315","16.2340002655983","16.1450002491474","16.2230002582073","16.5229991674423","16.9689996242523","17.2140005230903","16.8000003397465","17.2810003161431","15.8620000481606","16.1489997804165","16.1520000398159","16.644999653101","16.5899993181229","16.5480008274317",
"Ukraine","UKR","Vulnerable employment, female (% of female employment) (modeled ILO estimate)","SL.EMP.VULN.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.0350001752377","17.1379998028278","18.0020002424717","17.5420000255108","17.7419994771481","17.8539998531342","18.0589997768403","18.0440003871918","17.9319997727871","18.109000325203","18.2800005972386","18.2629998028278","18.2330001294613","18.2809992730617","18.1739999949932","18.1049999594688","18.0899999439716","18.2200001776219","18.4569995701313","18.8359995484352","19.2500002682209","18.7330006062985","18.9929992258549","13.2789998352527","13.1359996199608","12.6740004122257","12.9019996523858","12.8960000574589","12.902000144124",
"Ukraine","UKR","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.734001159668","58.5270004272461","58.3450012207031","58.4729995727539","56.4150009155273","54.5359992980957","52.992000579834","50.7719993591309","49.5589981079102","50.3040008544922","49.7840003967285","50.0960006713867","50.4910011291504","50.5040016174316","51.1520004272461","51.226001739502","51.3940010070801","51.3680000305176","50.0859985351563","50.5470008850098","50.8959999084473","50.7849998474121","51.5670013427734","49.2620010375977","49.5960006713867","49.2680015563965","49.056999206543","48.9099998474121","48.6969985961914",
"Ukraine","UKR","Employment to population ratio, 15+, total (%) (national estimate)","SL.EMP.TOTL.SP.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.6519012451172","57.8428001403809","57.926399230957","58.6646995544434","59.2966003417969","57.7341995239258","58.5416984558105","59.2487983703613","59.736400604248","60.1511001586914","56.5800018310547","56.7000007629395","56.2999992370605","56.0999984741211","57.0775985717773","",
